word1,word2,n,unique_ids,unique_authors
alaska,department,48,36,13
commercial,fisheries,46,18,7
escapement,data,37,13,5
stream,temperature,35,11,3
dataset,includes,31,27,10
commercial,fishing,29,15,4
age,class,28,22,9
brood,tables,27,12,7
salmon,fisheries,24,23,9
age,sex,22,12,5
data,file,22,15,5
original,data,22,16,7
people,sasap,21,21,7
population,demographics,21,11,5
fisheries,entry,20,12,4
growth,rates,20,10,4
limited,entry,20,9,4
temperature,data,20,10,2
data,files,19,17,7
package,includes,19,19,7
biocomplexity,doi,18,11,6
bony,structures,18,9,3
doi,10.5063,18,11,6
knowledge,network,18,11,6
sasap,project,18,14,6
winters,spent,18,9,5
alaskan,salmon,17,17,7
amp,amp,17,7,6
data,package,17,17,7
entry,fisheries,17,9,4
fish,passage,17,2,2
https,alaskasalmonandpeople.org,17,17,7
length,data,17,10,4
people,project,17,17,10
salmon,harvest,17,16,5
alaska's,salmon,16,14,8
commercial,catch,16,16,8
fisheries,management,16,13,6
european,notation,15,15,6
salmon,species,15,14,5
escapement,goals,14,3,2
salmon,escapement,14,8,5
saltwater,annuli,14,9,3
total,abundance,14,9,3
age,classes,13,11,7
csv,file,13,12,5
freshwater,streams,13,11,4
salmon,life,13,13,6
sockeye,salmon,13,9,4
annual,estimates,12,12,7
called,run,12,12,7
coho,salmon,12,10,5
cook,inlet,12,11,5
harvest,occurs,12,12,4
https,knb.ecoinformatics.org,12,5,2
includes,data,12,12,5
knb.ecoinformatics.org,view,12,5,2
life,histories,12,12,7
reconstructions,utilize,12,12,7
run,commercial,12,12,7
run,reconstructions,12,12,7
salmon,biologists,12,12,7
sport,fish,12,6,2
total,run,12,12,7
utilize,annual,12,12,7
view,urn:uuid,12,5,2
alaska,center,11,10,3
alaska's,commercial,11,9,4
data,provide,11,11,4
http,www.adfg.alaska.gov,11,9,4
includes,age,11,11,4
inform,management,11,11,5
marine,environment,11,11,4
migrating,fish,11,11,4
north,pacific,11,6,4
pass,upstream,11,11,4
salmon,productivity,11,11,6
sea,1,11,11,7
spawning,salmon,11,11,4
subsistence,salmon,11,10,3
sustained,yield,11,9,4
understand,salmon,11,11,6
1975,2016,10,8,5
age,1,10,9,5
annual,sampling,10,10,4
asl,data,10,8,4
class,distribution,10,10,4
dataset,consists,10,10,6
demographics,growth,10,10,4
demographics,knowing,10,10,4
dynamics,information,10,10,4
entry,commission,10,6,3
escapement,counts,10,9,3
estimate,population,10,10,4
fisheries,managers,10,10,4
freshwater,age,10,9,5
knowing,population,10,10,4
management,decisions,10,10,4
mid,eye,10,10,4
perform,population,10,10,4
population,assessments,10,10,4
population,dynamics,10,10,4
population,growth,10,10,4
provide,population,10,10,4
rates,age,10,10,4
researchers,estimate,10,10,4
salmon,harvests,10,10,4
sasap,region,10,9,3
trends,occur,10,10,4
valuable,fisheries,10,10,4
1,winter,9,9,5
2016,knowledge,9,6,4
3,winters,9,9,5
accs.uaa.alaska.edu,aquatic,9,9,2
age,estimates,9,9,3
akoats,http,9,9,2
alaska,online,9,9,2
alaska,salmon,9,9,5
annuli,i.e,9,9,3
aquatic,ecology,9,9,2
aquatic,temperature,9,9,2
belly,shape,9,9,3
bones,scales,9,9,3
comprehensive,statewide,9,9,2
conservation,science's,9,9,2
continuous,monitoring,9,9,2
data,compiled,9,9,3
e.g,otoliths,9,9,3
ear,bones,9,9,3
ecology,akoats,9,9,2
examining,external,9,9,3
examining,scales,9,9,3
external,morphology,9,9,3
fish,sex,9,9,3
freshwater,rivers,9,9,4
gummed,cards,9,9,3
herring,fisheries,9,9,4
historic,continuous,9,9,2
http,accs.uaa.alaska.edu,9,9,2
i.e,rings,9,9,3
internal,sex,9,9,3
larger,project,9,9,2
lateral,line,9,9,3
line,scales,9,9,3
monitoring,locations,9,9,2
online,aquatic,9,9,2
organ,length,9,9,3
otoliths,ear,9,9,3
prince,william,9,7,3
sasap,https,9,9,2
science's,alaska,9,9,2
sea,age,9,9,5
sex,organ,9,9,3
site,akoats,9,9,2
species,chinook,9,9,3
statewide,inventory,9,9,2
structures,e.g,9,9,3
temperature,site,9,9,2
william,sound,9,7,3
24h,period,8,8,3
abundance,surveys,8,8,3
