word1,word2,n,unique_ids,unique_authors
mining,footprints,8,1,1
region,id,4,4,1
standard,deviation,4,2,1
data,data,3,3,1
data,source,3,3,1
id,region,3,3,1
numeric,id,3,3,1
original,numeric,3,3,1
source,data,3,3,1
watershed,id,3,3,1
watershed,original,3,3,1
average,elevation,2,1,1
footprints,average,2,1,1
footprints,density,2,1,1
glaciers,average,2,1,1
glaciers,density,2,1,1
lakes,average,2,1,1
lakes,density,2,1,1
lakes,standard,2,1,1
sasap,region,2,2,2
1993,maximum,1,1,1
1993,minimum,1,1,1
1993,range,1,1,1
1993,standard,1,1,1
1993,sum,1,1,1
2009,difference,1,1,1
2009,maximum,1,1,1
2009,minimum,1,1,1
2009,range,1,1,1
2009,sum,1,1,1
access,community,1,1,1
adfg,region,1,1,1
alaska,region,1,1,1
budget,villages,1,1,1
community,road,1,1,1
confidential,sector,1,1,1
date,ruralurban,1,1,1
deviation,1993,1,1,1
deviation,2009,1,1,1
difference,1993,1,1,1
ferry,access,1,1,1
footprints,watershed,1,1,1
glaciers,watershed,1,1,1
id,standard,1,1,1
lakes,watershed,1,1,1
maximum,1993,1,1,1
maximum,2009,1,1,1
meeting,date,1,1,1
minimum,1993,1,1,1
minimum,2009,1,1,1
multisingle,road,1,1,1
proportion,confidential,1,1,1
range,1993,1,1,1
range,2009,1,1,1
region,ac,1,1,1
region,adfg,1,1,1
region,species,1,1,1
report,harvest,1,1,1
road,connection,1,1,1
road,travel,1,1,1
ruralurban,multisingle,1,1,1
sector,source,1,1,1
source,average,1,1,1
source,report,1,1,1
species,proportion,1,1,1
sum,1993,1,1,1
sum,2009,1,1,1
travel,budget,1,1,1
villages,active,1,1,1
