word1,word2,n,unique_ids,unique_authors
featured,biophysical,18,18,5
fishing,featured,17,17,5
commercial,fishing,15,15,5
stream,characteristics,13,13,4
age,sex,12,12,5
brood,table,12,12,7
governance,featured,12,12,9
sex,length,12,12,5
characteristics,temperature,11,11,3
featured,sociocultural,11,11,4
watershed,characteristics,10,10,1
characteristics,featured,7,7,1
economic,featured,6,6,1
economic,commercial,5,5,2
demographic,featured,4,4,3
featured,economic,4,4,2
harvest,subsistence,4,4,1
ocean,climate,3,3,3
sociocultural,economic,3,3,2
table,featured,3,3,3
distribution,featured,2,2,2
escapement,biophysical,2,2,2
escapement,featured,2,2,1
featured,ocean,2,2,2
fishing,economic,2,2,1
harvest,commercial,2,2,1
hatcheries,featured,2,2,2
ocean,distribution,2,2,2
sport,fishing,2,2,1
biophys,stream,1,1,1
biophysical,harvest,1,1,1
characteristics,biophysical,1,1,1
characteristics,land,1,1,1
climate,age,1,1,1
community,monitoring,1,1,1
demographic,sociocultural,1,1,1
featured,community,1,1,1
fishing,census,1,1,1
fishing,survey,1,1,1
governance,commercial,1,1,1
harvest,escapement,1,1,1
harvest,featured,1,1,1
harvest,governance,1,1,1
harvest,sport,1,1,1
precipitation,featured,1,1,1
sociocultural,biophysical,1,1,1
sociocultural,featured,1,1,1
survey,featured,1,1,1
temperature,featured,1,1,1
