word1,word2,n,unique_ids,unique_authors
salmon,brood,12,12,7
age,sex,11,11,5
brood,tables,11,11,6
salmon,age,11,11,5
stream,temperature,11,11,3
length,data,10,10,4
salmon,escapement,10,10,5
sasap,region,10,10,1
situ,stream,10,10,3
temperature,monitoring,10,10,3
1975,2016,8,8,3
escapement,counts,8,8,3
sockeye,salmon,8,8,4
alaskan,watersheds,6,6,1
commercial,fisheries,6,6,3
cook,inlet,6,6,2
fisheries,entry,6,6,3
hydrologic,unit,6,6,1
unit,huc8,6,6,1
chinook,salmon,5,5,5
commercial,salmon,5,5,2
inlet,alaska,5,5,1
southeast,alaska,5,5,3
alaska,board,4,4,3
bristol,bay,4,4,2
daily,salmon,4,4,2
huc8,boundary,4,4,1
alaska,1955,3,3,1
alaska,1975,3,3,2
alaska,2008,3,3,2
alaska,2011,3,3,2
bay,alaska,3,3,2
daily,escapement,3,3,2
data,alaska,3,3,2
entry,commission,3,3,1
kuskokwim,river,3,3,3
pacific,salmon,3,3,2
permit,holders,3,3,1
prince,william,3,3,3
river,alaska,3,3,2
salmon,permit,3,3,2
william,sound,3,3,3
1901,2015,2,2,1
1921,2017,2,2,2
1955,2016,2,2,1
1978,2017,2,2,2
2000,2015,2,2,2
2000,2017,2,2,2
2010,2015,2,2,1
2011,2017,2,2,2
alaska,1960,2,2,1
alaska,1988,2,2,2
alaska,2000,2,2,2
alaska,2018,2,2,2
alaska,commercial,2,2,1
alaska,u.s,2,2,1
alaska's,salmon,2,2,2
alaskan,commercial,2,2,1
alaskan,salmon,2,2,1
coho,salmon,2,2,2
copper,river,2,2,2
entry,commision,2,2,2
escapement,goals,2,2,1
geological,survey,2,2,1
harvest,data,2,2,1
huc8,boundaries,2,2,1
lower,cook,2,2,2
monitoring,southwest,2,2,1
north,pacific,2,2,2
northeast,pacific,2,2,2
permit,earnings,2,2,2
processing,industry,2,2,1
public,permit,2,2,2
region,alaska,2,2,1
regional,subsetting,2,2,1
salmon,abundance,2,2,2
salmon,fishery,2,2,2
salmon,fishing,2,2,1
salmon,harvest,2,2,1
salmon,hatchery,2,2,2
southwest,alaska,2,2,1
sport,fish,2,2,2
statewide,alaskan,2,2,1
subsistence,harvest,2,2,1
survey,usgs,2,2,1
tables,northeast,2,2,2
u.s,geological,2,2,1
upper,cook,2,2,1
weirs,alaska,2,2,2
1882,2016,1,1,1
1922,2016,1,1,1
1922,2017,1,1,1
1925,2015,1,1,1
1927,2018,1,1,1
1931,2011,1,1,1
1940,2016,1,1,1
1948,2015,1,1,1
1952,2017,1,1,1
1955,2017,1,1,1
1956,2013,1,1,1
1957,2009,1,1,1
1958,2016,1,1,1
1959,2016,1,1,1
1960,2012,1,1,1
1960,2017,1,1,1
1960,2018,1,1,1
1961,2014,1,1,1
1964,2015,1,1,1
1965,2015,1,1,1
1965,2016,1,1,1
1967,2011,1,1,1
1967,2015,1,1,1
1967,2016,1,1,1
1968,2016,1,1,1
1970,2012,1,1,1
1972,2017,1,1,1
1974,2014,1,1,1
1976,2015,1,1,1
1976,2016,1,1,1
1976,2018,1,1,1
1979,2017,1,1,1
1981,2015,1,1,1
1984,2015,1,1,1
1984,2016,1,1,1
1988,2016,1,1,1
1988,2017,1,1,1
1990,2015,1,1,1
1993,2016,1,1,1
1995,2016,1,1,1
1996,2016,1,1,1
1997,2016,1,1,1
1997,2018,1,1,1
2000,2012,1,1,1
2000,2016,1,1,1
2000,2018,1,1,1
2002,2017,1,1,1
2008,2015,1,1,1
2008,2017,1,1,1
2008,2018,1,1,1
2009,2016,1,1,1
2010,2016,1,1,1
2011,2016,1,1,1
2013,2017,1,1,1
