token,n,unique_ids,unique_authors
data,468,116,32
salmon,301,93,29
alaska,272,105,28
fish,210,65,20
fisheries,197,59,20
dataset,171,98,28
age,139,34,12
file,133,62,19
commercial,130,50,16
information,130,60,22
escapement,118,29,11
includes,99,52,19
subsistence,87,21,8
freshwater,80,32,10
management,80,47,20
stream,73,25,9
harvest,72,25,6
included,69,48,17
region,66,44,15
fishery,64,30,11
fishing,63,27,6
permit,63,14,6
project,61,46,16
population,60,15,8
department,59,40,15
original,58,41,16
package,55,41,12
total,55,39,14
tables,54,24,16
species,53,35,12
entry,51,14,5
people,51,46,19
temperature,51,12,4
https,50,39,14
regions,50,30,9
game,49,29,13
sasap,49,36,12
1,48,32,16
annual,47,40,15
estimate,47,37,11
2016,46,34,12
collected,46,36,11
files,46,36,9
river,45,28,11
permits,44,13,5
sex,44,14,5
brood,42,13,7
cfec,41,12,5
csv,41,31,9
site,41,14,2
alaska's,40,26,11
http,40,33,10
alaskan,39,31,10
represent,39,16,8
winters,37,12,7
3,36,25,9
length,36,13,5
index,35,17,8
estimates,34,27,12
abundance,33,14,6
national,33,18,8
run,33,18,9
script,33,31,12
sea,33,15,9
community,32,14,5
conservation,32,26,8
including,32,24,10
scales,32,11,4
water,31,8,5
based,30,20,12
board,30,10,6
provide,30,29,12
class,29,23,9
provided,29,24,6
reformatted,29,27,10
survey,29,13,6
datasets,28,20,9
sockeye,28,21,8
trends,28,18,6
amp,27,7,6
saltwater,27,11,5
sampling,27,21,6
shapefile,27,7,1
2017,26,21,10
adfg,26,12,7
database,26,15,10
demographics,26,15,7
regional,26,20,10
network,25,18,7
pass,25,11,4
spawning,25,17,9
counts,24,11,4
extracted,24,19,11
growth,24,12,4
locations,24,22,6
sport,24,11,3
catch,23,20,9
chinook,23,18,6
found,23,20,8
level,23,19,7
limited,23,10,4
spent,23,14,6
time,23,20,7
coho,22,19,7
division,22,15,5
format,22,17,7
location,22,16,4
monitoring,22,13,4
researchers,22,21,6
resources,22,15,6
sites,22,10,2
valuable,22,12,6
count,21,12,5
doi,21,12,7
include,21,19,8
personal,21,7,2
projects,21,19,6
rates,21,11,4
streams,21,14,7
surveys,21,13,6
aquatic,20,10,3
estimated,20,15,7
examining,20,11,3
hatchery,20,4,4
regulations,20,9,4
utilize,20,20,7
vessels,20,8,3
commission,19,13,6
distribution,19,13,6
knowledge,19,11,6
names,19,15,8
pacific,19,11,8
related,19,14,8
report,19,13,4
rivers,19,18,6
stocks,19,11,7
table,19,14,11
type,19,16,7
10.5063,18,11,6
5,18,15,7
akoats,18,9,2
biocomplexity,18,11,6
bony,18,9,3
code,18,13,4
columns,18,15,8
derived,18,14,7
determined,18,18,6
gear,18,9,2
located,18,14,7
marine,18,17,7
migration,18,14,6
passage,18,2,2
set,18,14,7
structures,18,9,3
watershed,18,14,5
2018,17,13,11
alaskasalmonandpeople.org,17,17,7
center,17,15,4
create,17,11,6
created,17,16,6
defined,17,10,4
e.g,17,14,5
life,17,15,8
notation,17,17,8
period,17,16,7
processing,17,12,6
system,17,9,5
usgs,17,7,4
1975,16,12,8
activity,16,13,6
analysis,16,12,4
annuli,16,10,3
archived,16,15,8
communities,16,8,4
compiled,16,16,6
document,16,14,11
figures,16,12,8
migrating,16,11,4
observers,16,9,4
pink,16,12,6
research,16,15,6
service,16,11,5
spawn,16,13,4
statewide,16,15,3
ages,15,14,8
chum,15,12,6
european,15,15,6
federal,15,8,8
goals,15,4,3
i.e,15,12,4
reports,15,9,4
rural,15,8,5
samples,15,15,8
season,15,9,4
sources,15,13,6
stationary,15,8,3
view,15,8,4
wild,15,9,3
www.adfg.alaska.gov,15,12,4
2015,14,11,5
district,14,7,5
dynamics,14,12,6
excel,14,10,3
historic,14,14,5
inventory,14,10,3
lands,14,5,4
north,14,8,5
online,14,12,4
process,14,14,8
public,14,8,7
removed,14,14,4
values,14,10,4
variety,14,14,6
wildlife,14,9,4
yield,14,10,4
activities,13,9,4
asl,13,8,4
assessments,13,11,5
boundaries,13,5,3
called,13,13,8
classes,13,11,7
decisions,13,13,7
economic,13,11,5
effort,13,13,4
historical,13,7,5
markdown,13,12,7
occur,13,13,5
productivity,13,12,7
proposals,13,4,3
recorded,13,8,4
reformats,13,13,5
section,13,12,5
understand,13,13,8
2,12,9,6
adf,12,7,4
anadromous,12,3,3
biologists,12,12,7
changing,12,12,5
consists,12,12,8
cook,12,11,5
counted,12,11,4
current,12,12,2
development,12,9,4
disaster,12,1,1
ecology,12,10,2
enumeration,12,12,4
histories,12,12,7
inform,12,12,6
inlet,12,11,5
knb.ecoinformatics.org,12,5,2
lake,12,12,3
managers,12,12,6
metadata,12,10,2
methods,12,11,7
occurred,12,12,3
occurs,12,12,4
park,12,5,4
processors,12,8,3
proposal,12,3,3
readily,12,12,2
reconstructions,12,12,7
recruits,12,12,7
reformatting,12,12,6
release,12,3,2
sound,12,9,4
source,12,12,9
traditional,12,5,2
upstream,12,12,5
urn:uuid,12,5,2
version,12,10,7
waters,12,8,5
watersheds,12,7,2
aerial,11,9,5
codes,11,7,2
confidential,11,6,2
contained,11,9,5
date,11,9,5
details,11,11,9
earnings,11,4,2
elevation,11,3,2
ensure,11,11,4
environment,11,11,4
fishermen,11,10,5
fork,11,11,4
harvests,11,11,4
indicators,11,2,2
internal,11,11,3
knowing,11,11,4
land,11,5,4
measured,11,11,4
method,11,9,3
millimeters,11,11,4
native,11,4,4
quality,11,10,7
sample,11,11,3
shape,11,10,3
southeast,11,9,4
stock,11,10,5
sustained,11,9,4
unique,11,11,4
urban,11,5,5
addition,10,10,9
additional,10,9,5
archival,10,10,3
bay,10,8,4
cards,10,10,4
caught,10,7,2
continuous,10,10,2
copper,10,9,4
customary,10,4,2
eye,10,10,4
fall,10,10,4
generated,10,9,6
geographic,10,7,4
head,10,10,3
individual,10,9,5
lakes,10,4,3
larger,10,10,3
line,10,10,4
local,10,7,6
maps,10,6,4
mid,10,10,4
mouth,10,7,3
ocean,10,7,3
pdf,10,10,4
perform,10,10,4
program,10,6,3
rings,10,10,3
scale,10,7,6
slightly,10,10,5
summer,10,10,4
tail,10,10,4
website,10,10,6
winter,10,10,5
yukon,10,7,4
4,9,9,6
accs.uaa.alaska.edu,9,9,2
acetate,9,9,3
agency,9,9,4
belly,9,9,3
bof,9,3,2
bones,9,9,3
census,9,4,4
collect,9,9,2
column,9,7,4
combined,9,7,3
comprehensive,9,9,2
consistent,9,9,4
depth,9,2,1
ear,9,9,3
effective,9,8,6
expanded,9,9,3
external,9,9,3
fresh,9,8,2
gummed,9,9,3
herring,9,9,4
huc8,9,8,1
hydrologic,9,3,2
impression,9,9,3
lateral,9,9,3
left,9,9,3
migrate,9,9,4
mining,9,3,3
model,9,2,2
monthly,9,3,2
morphology,9,9,3
mounted,9,9,3
multiple,9,7,4
organ,9,9,3
otoliths,9,9,3
past,9,9,3
peak,9,9,4
populations,9,9,4
pressed,9,9,3
prince,9,7,3
regulatory,9,8,6
required,9,7,4
resident,9,6,2
rmd,9,8,4
rows,9,8,5
science's,9,9,2
seafood,9,4,1
specific,9,9,4
stored,9,7,6
systems,9,8,4
temperatures,9,9,3
types,9,7,5
weirs,9,9,3
william,9,7,3
2009,8,6,6
24h,8,8,3
8,8,7,2
aac,8,6,4
additionally,8,8,5
application,8,7,3
assigned,8,8,6
autonomous,8,8,3
canadian,8,8,3
coincide,8,8,3
commision,8,7,3
corridors,8,8,3
council,8,2,2
culverts,8,1,1
directly,8,8,5
domains,8,4,4
elevated,8,8,3
equipment,8,8,4
families,8,5,2
forms,8,4,2
functions,8,4,3
hourly,8,8,3
identified,8,4,3
independent,8,8,3
issued,8,7,3
leasing,8,8,3
live.laborstats.alaska.gov,8,5,2
meeting,8,6,5
natural,8,5,5
oncorhynchus,8,3,3
origin,8,4,3
owner,8,2,2
preserve,8,7,4
regulates,8,8,3
relevant,8,8,7
residents,8,7,2
responsible,8,8,3
rmarkdown,8,8,7
road,8,3,3
separate,8,7,5
shapefiles,8,7,3
slope,8,2,2
stationed,8,8,3
timed,8,8,3
towers,8,8,3
upriver,8,8,3
vessel,8,4,3
16,7,5,2
2010,7,5,4
account,7,7,3
aircraft,7,7,3
amount,7,6,3
ans,7,1,1
arctic,7,5,2
assessment,7,3,3
boosting,7,7,3
bristol,7,7,3
change,7,6,5
committed,7,7,3
cultural,7,5,2
decision,7,6,6
dependents,7,7,3
determine,7,6,5
formatted,7,7,3
holders,7,4,2
index.cfm,7,6,4
industry,7,5,2
issues,7,6,4
kuskokwim,7,5,2
labor,7,6,4
licensed,7,7,4
main,7,6,6
major,7,4,4
merged,7,5,5
modified,7,7,4
note,7,7,4
ongoing,7,7,2
promoting,7,7,3
purposes,7,7,4
record,7,5,4
records,7,6,4
resource,7,7,4
results,7,7,5
single,7,7,5
sonar,7,7,3
stability,7,7,3
steps,7,7,5
streamflow,7,1,1
summary,7,6,5
tag,7,2,2
united,7,6,3
versions,7,7,3
12,6,3,1
13,6,5,4
2011,6,5,3
accessible,6,6,4
added,6,5,5
administrative,6,4,1
allowed,6,6,3
anchorage,6,6,6
annually,6,6,3
average,6,6,2
basic,6,5,5
biological,6,4,3
burned,6,1,1
central,6,6,3
climate,6,6,3
commerce,6,5,4
cooperative,6,2,1
crossings,6,2,2
cru,6,2,1
dates,6,4,4
definitions,6,5,2
deposition,6,6,3
developed,6,6,4
due,6,5,3
escape,6,6,3
established,6,6,3
follow,6,6,5
footprint,6,3,1
formats,6,6,5
frequently,6,6,3
gathered,6,6,4
generate,6,6,6
ground,6,3,3
habitat,6,5,4
html,6,6,3
human,6,3,2
identify,6,5,3
individuals,6,6,5
international,6,6,4
jared,6,4,2
kibele,6,4,2
km,6,2,1
landscape,6,2,1
language,6,2,2
loan,6,1,1
loans,6,1,1
logs,6,4,4
mature,6,6,3
measurements,6,4,2
meetings,6,3,3
michael,6,4,2
noaa,6,3,3
pattern,6,6,5
pfd,6,1,1
plots,6,4,4
prior,6,6,3
rap,6,2,1
recording,6,6,2
recovery,6,2,1
require,6,4,2
resolution,6,6,2
return,6,6,4
sasap_regions.zip,6,6,1
science,6,5,3
sf,6,5,2
statistical,6,3,1
strategy,6,6,3
tabular,6,4,4
ts,6,2,1
u.s,6,4,4
upper,6,5,2
violations,6,1,1
widely,6,6,2
1.3,5,5,2
10,5,5,3
18,5,3,2
1993,5,3,2
2001,5,5,3
2012,5,5,2
2019,5,5,4
6,5,4,4
agencies,5,3,3
analyzed,5,5,3
assess,5,5,2
authority,5,5,3
awc,5,3,3
body,5,4,4
bureau,5,4,4
casing,5,1,1
catalog,5,3,3
characteristics,5,3,3
clark,5,4,3
coding,5,4,4
cover,5,2,2
covered,5,4,1
culvert,5,1,1
description,5,5,5
detail,5,5,2
determinations,5,2,2
documents,5,3,3
doi.org,5,4,3
download,5,3,1
emergence,5,5,2
escapements,5,4,3
factors,5,4,3
final,5,2,2
fishers,5,3,2
footprints,5,1,1
funding,5,4,3
gas,5,3,2
geological,5,5,3
glaciers,5,1,1
governance,5,5,5
indian,5,4,4
jeanette,5,4,3
levels,5,4,4
licenses,5,4,3
list,5,4,3
lists,5,3,3
logged,5,5,3
lower,5,3,2
makes,5,5,5
map,5,4,3
maximum,5,5,3
merge,5,5,1
outlined,5,3,2
outlines,5,5,2
packers,5,5,3
participation,5,3,3
permanent,5,4,3
positions,5,3,3
potential,5,5,4
pounds,5,3,1
processed,5,3,2
products,5,3,1
publication,5,5,4
python,5,5,1
regulated,5,3,2
reported,5,4,1
residency,5,1,1
resides,5,1,1
resulting,5,5,1
revised,5,2,2
riverscape,5,3,1
sasap_watersheds_gapfix.zip,5,5,1
scripts,5,5,2
sectors,5,2,1
seine,5,5,3
skiffs,5,5,3
spatial,5,4,2
stakeholder,5,2,2
submit,5,5,5
sum,5,5,2
temporal,5,5,2
tenders,5,5,3
transporter,5,5,3
units,5,1,1
voting,5,1,1
waterbodyname_akoatsid_startdate_enddate,5,5,2
weekly,5,2,2
weight,5,4,3
written,5,5,5
0be8e61c4deb,4,4,1
11,4,2,2
15,4,4,2
1959,4,3,3
1984,4,3,1
2000,4,4,3
2013,4,4,1
250,4,3,3
2b5ab57e,4,4,1
2c1c26fc,4,4,1
38ec,4,4,1
4.0,4,2,1
4b6a,4,4,1
4bc9,4,4,1
8290,4,4,1
8d4a,4,4,1
address,4,2,2
advisory,4,3,2
aggregated,4,4,2
alari,4,1,1
allocation,4,4,3
appointed,4,3,3
assessing,4,4,4
assign,4,4,4
beg,4,2,1
bfb9,4,4,1
british,4,4,3
broken,4,4,2
budget,4,3,2
canada,4,4,3
categories,4,4,3
chapter,4,3,3
classified,4,3,3
coastal,4,3,3
columbia,4,4,3
combines,4,4,3
conducted,4,4,3
conducts,4,4,3
consumption,4,2,2
daily,4,3,2
detailing,4,4,4
discharge,4,1,1
distinction,4,3,3
diverse,4,3,3
downloaded,4,4,3
downstream,4,4,2
duplicate,4,3,2
ecosystems,4,3,3
enhancement,4,2,1
errors,4,3,3
evaluation,4,4,4
exist,4,4,1
f080ec0befb4,4,4,1
family,4,2,1
female,4,3,3
figure,4,3,3
food,4,3,1
forest,4,3,3
forum,4,3,3
gauging,4,1,1
glennallen,4,1,1
goal,4,4,4
harvested,4,3,2
hydro,4,4,1
