token,n,unique_ids,unique_authors
na,110,110,30
region,11,6,3
id,10,4,1
lakes,10,1,1
average,8,3,1
footprints,8,1,1
glaciers,8,1,1
mining,8,1,1
1993,7,1,1
2009,7,1,1
source,7,4,2
data,6,3,1
density,6,3,1
watershed,6,3,1
alaska,4,4,1
deviation,4,2,1
standard,4,2,1
community,3,1,1
numeric,3,3,1
original,3,3,1
elevation,2,1,1
lake,2,1,1
maximum,2,1,1
minimum,2,1,1
range,2,1,1
road,2,2,2
sasap,2,2,2
sum,2,1,1
ac,1,1,1
access,1,1,1
active,1,1,1
adfg,1,1,1
budget,1,1,1
communities,1,1,1
confidential,1,1,1
connection,1,1,1
date,1,1,1
difference,1,1,1
ferry,1,1,1
harvest,1,1,1
meeting,1,1,1
meetings,1,1,1
multisingle,1,1,1
proportion,1,1,1
report,1,1,1
ruralurban,1,1,1
seats,1,1,1
sector,1,1,1
species,1,1,1
travel,1,1,1
villages,1,1,1
