token,n,unique_ids,unique_authors
featured,70,70,22
characteristics,23,23,5
biophysical,22,22,6
fishing,21,21,5
economic,17,16,3
commercial,15,15,5
governance,14,14,10
escapement,13,13,5
sociocultural,13,13,6
stream,13,13,4
age,12,12,5
brood,12,12,7
length,12,12,5
sex,12,12,5
table,12,12,7
temperature,12,12,4
harvest,10,10,3
watershed,10,10,1
census,5,5,4
demographic,5,5,4
ocean,5,4,3
land,4,4,3
personal,4,4,1
subsistence,4,4,1
climate,3,3,3
na,3,3,3
distribution,2,2,2
hatcheries,2,2,2
sport,2,2,1
biophys,1,1,1
community,1,1,1
monitoring,1,1,1
precipitation,1,1,1
survey,1,1,1
