token,n,unique_ids,unique_authors
alaska,78,77,22
salmon,56,56,20
2016,32,32,11
data,24,24,9
2017,21,21,9
region,20,20,4
alaskan,18,18,5
2015,17,17,8
commercial,17,16,5
age,13,13,5
escapement,13,13,6
fisheries,13,13,8
brood,12,12,7
sasap,12,12,2
length,11,11,5
sex,11,11,5
stream,11,11,3
tables,11,11,6
temperature,11,11,3
2018,10,10,10
monitoring,10,10,3
river,10,8,7
situ,10,10,3
counts,9,9,3
daily,9,9,3
fish,9,9,4
sockeye,9,9,4
1975,8,8,3
harvest,8,7,2
2000,7,7,7
pacific,7,7,6
permit,7,6,3
regional,7,7,4
chinook,6,6,5
cook,6,6,2
entry,6,6,3
huc8,6,6,1
hydrologic,6,6,1
information,6,6,3
inlet,6,6,2
subsetting,6,6,1
subsistence,6,6,3
unit,6,6,1
watersheds,6,6,1
2011,5,5,2
alaska's,5,5,4
board,5,5,4
database,5,5,3
fishing,5,5,1
southeast,5,5,3
2009,4,4,4
2010,4,4,3
annual,4,4,4
bay,4,4,2
boundaries,4,4,2
boundary,4,4,1
bristol,4,4,2
community,4,4,2
kuskokwim,4,4,3
survey,4,4,2
1955,3,3,1
1960,3,3,2
1967,3,3,2
1976,3,3,3
1984,3,3,2
2008,3,3,2
2012,3,3,2
2014,3,3,2
catch,3,3,2
commission,3,3,1
copper,3,3,3
earnings,3,3,2
fishery,3,3,2
hatchery,3,2,2
holders,3,3,1
industry,3,3,1
lower,3,3,2
north,3,3,3
permits,3,3,3
prince,3,3,3
proposals,3,3,3
rivers,3,3,3
seafood,3,3,1
season,3,3,2
sound,3,3,3
sport,3,3,2
statewide,3,3,2
summary,3,3,2
watershed,3,3,1
weirs,3,3,2
william,3,3,3
1901,2,2,1
1921,2,2,2
1922,2,2,2
1965,2,2,1
1978,2,2,2
1988,2,2,2
1993,2,2,2
1997,2,2,2
2013,2,2,1
abundance,2,2,2
advisory,2,2,2
anadromous,2,2,2
census,2,2,2
central,2,2,1
characteristics,2,2,2
coho,2,2,2
commision,2,2,2
compiled,2,2,1
demographics,2,2,1
derived,2,2,2
escapements,2,2,1
estimated,2,2,2
geological,2,2,1
goals,2,2,1
historic,2,2,1
locations,2,2,2
management,2,2,2
northeast,2,2,2
online,2,2,1
people,2,2,2
permanent,2,2,2
personal,2,2,2
processing,2,2,1
public,2,2,2
reports,2,2,1
review,2,2,1
sites,2,2,1
slope,2,2,2
southwest,2,2,1
status,2,2,2
table,2,2,2
u.s,2,2,1
upper,2,2,1
usgs,2,2,1
vessel,2,2,2
westward,2,2,1
yukon,2,2,1
1882,1,1,1
1925,1,1,1
1927,1,1,1
1931,1,1,1
1940,1,1,1
1948,1,1,1
1952,1,1,1
1956,1,1,1
1957,1,1,1
1958,1,1,1
1959,1,1,1
1961,1,1,1
1964,1,1,1
1968,1,1,1
1970,1,1,1
1972,1,1,1
1974,1,1,1
1979,1,1,1
1980,1,1,1
1981,1,1,1
1990,1,1,1
1995,1,1,1
1996,1,1,1
2001,1,1,1
2002,1,1,1
2007,1,1,1
2019,1,1,1
activity,1,1,1
air,1,1,1
alari,1,1,1
american,1,1,1
analysis,1,1,1
applications,1,1,1
arcic,1,1,1
arctic,1,1,1
assessment,1,1,1
attributes,1,1,1
awc,1,1,1
based,1,1,1
basic,1,1,1
british,1,1,1
budget,1,1,1
burned,1,1,1
camp,1,1,1
canada,1,1,1
catalog,1,1,1
cfec,1,1,1
characterization,1,1,1
city,1,1,1
closed,1,1,1
coar,1,1,1
coghill,1,1,1
columbia,1,1,1
committees,1,1,1
communities,1,1,1
connectivity,1,1,1
council,1,1,1
counting,1,1,1
creek,1,1,1
decennial,1,1,1
demographic,1,1,1
department,1,1,1
determinations,1,1,1
disaster,1,1,1
discharge,1,1,1
distribution,1,1,1
dividend,1,1,1
domains,1,1,1
east,1,1,1
effort,1,1,1
elevation,1,1,1
employee,1,1,1
enforcement,1,1,1
estimate,1,1,1
estimates,1,1,1
federal,1,1,1
federally,1,1,1
ferry,1,1,1
fire,1,1,1
footprint,1,1,1
form,1,1,1
fraser,1,1,1
functions,1,1,1
fund,1,1,1
game,1,1,1
glaciers,1,1,1
glennallen,1,1,1
global,1,1,1
goodnews,1,1,1
gross,1,1,1
habitat,1,1,1
households,1,1,1
human,1,1,1
indian,1,1,1
indicators,1,1,1
industries,1,1,1
informed,1,1,1
inpfc,1,1,1
island,1,1,1
kodiak,1,1,1
kusokwim,1,1,1
lake,1,1,1
lakes,1,1,1
land,1,1,1
landcover,1,1,1
language,1,1,1
languages,1,1,1
licenses,1,1,1
limited,1,1,1
lithology,1,1,1
loans,1,1,1
local,1,1,1
log,1,1,1
loop,1,1,1
major,1,1,1
mapping,1,1,1
maps,1,1,1
measurements,1,1,1
meetings,1,1,1
meziadin,1,1,1
migration,1,1,1
mines,1,1,1
model,1,1,1
month,1,1,1
names,1,1,1
national,1,1,1
native,1,1,1
network,1,1,1
nonresident,1,1,1
northeastern,1,1,1
npafc,1,1,1
oceanak,1,1,1
operator's,1,1,1
panel,1,1,1
park,1,1,1
passage,1,1,1
percent,1,1,1
pfd,1,1,1
pink,1,1,1
population,1,1,1
precipitation,1,1,1
prices,1,1,1
products,1,1,1
project,1,1,1
pws,1,1,1
recent,1,1,1
recognized,1,1,1
recovery,1,1,1
regions,1,1,1
regulations,1,1,1
release,1,1,1
releases,1,1,1
report,1,1,1
reporting,1,1,1
residence,1,1,1
residency,1,1,1
resident,1,1,1
resource,1,1,1
return,1,1,1
revenue,1,1,1
road,1,1,1
salmonid,1,1,1
sample,1,1,1
samples,1,1,1
scale,1,1,1
seas,1,1,1
sectors,1,1,1
service,1,1,1
simulation,1,1,1
spanning,1,1,1
spatial,1,1,1
species,1,1,1
statistical,1,1,1
streamflow,1,1,1
streams,1,1,1
subdistrict,1,1,1
summaries,1,1,1
surveys,1,1,1
system,1,1,1
tag,1,1,1
tailored,1,1,1
taiya,1,1,1
tanada,1,1,1
tax,1,1,1
temperatures,1,1,1
terrestrial,1,1,1
total,1,1,1
towers,1,1,1
tracking,1,1,1
transfers,1,1,1
tribes,1,1,1
values,1,1,1
village,1,1,1
violations,1,1,1
wages,1,1,1
washington,1,1,1
waters,1,1,1
weight,1,1,1
wildlife,1,1,1
worker,1,1,1
workers,1,1,1
workforce,1,1,1
