word1,word2,word3,n,unique_ids,unique_authors
commercial,fisheries,entry,20,12,4
biocomplexity,doi,10.5063,18,11,6
stream,temperature,data,18,9,2
limited,entry,fisheries,17,9,4
called,run,reconstructions,12,12,7
https,knb.ecoinformatics.org,view,12,5,2
knb.ecoinformatics.org,view,urn:uuid,12,5,2
people,sasap,project,12,12,5
reconstructions,utilize,annual,12,12,7
run,commercial,catch,12,12,7
run,reconstructions,utilize,12,12,7
total,run,commercial,12,12,7
utilize,annual,estimates,12,12,7
alaska's,commercial,fisheries,11,9,4
data,package,includes,11,11,5
salmon,harvest,occurs,11,11,4
salmon,life,histories,11,11,6
understand,salmon,productivity,11,11,6
age,class,distribution,10,10,4
data,provide,population,10,10,4
dataset,includes,age,10,10,3
demographics,growth,rates,10,10,4
demographics,knowing,population,10,10,4
estimate,population,growth,10,10,4
growth,rates,age,10,10,4
includes,age,sex,10,10,4
inform,management,decisions,10,10,4
knowing,population,demographics,10,10,4
perform,population,assessments,10,10,4
population,demographics,growth,10,10,4
population,demographics,knowing,10,10,4
population,dynamics,information,10,10,4
population,growth,rates,10,10,4
provide,population,dynamics,10,10,4
rates,age,class,10,10,4
researchers,estimate,population,10,10,4
2016,knowledge,network,9,6,4
accs.uaa.alaska.edu,aquatic,ecology,9,9,2
akoats,http,accs.uaa.alaska.edu,9,9,2
alaska,online,aquatic,9,9,2
annuli,i.e,rings,9,9,3
aquatic,ecology,akoats,9,9,2
aquatic,temperature,site,9,9,2
bony,structures,e.g,9,9,3
comprehensive,statewide,inventory,9,9,2
conservation,science's,alaska,9,9,2
continuous,monitoring,locations,9,9,2
e.g,otoliths,ear,9,9,3
ear,bones,scales,9,9,3
examining,external,morphology,9,9,3
fisheries,entry,commission,9,5,2
freshwater,age,1,9,9,5
historic,continuous,monitoring,9,9,2
http,accs.uaa.alaska.edu,aquatic,9,9,2
internal,sex,organ,9,9,3
lateral,line,scales,9,9,3
length,data,compiled,9,9,3
online,aquatic,temperature,9,9,2
original,data,file,9,6,2
otoliths,ear,bones,9,9,3
prince,william,sound,9,7,3
salmon,species,chinook,9,9,3
saltwater,annuli,i.e,9,9,3
sasap,https,alaskasalmonandpeople.org,9,9,2
science's,alaska,online,9,9,2
sea,1,winter,9,9,5
sex,organ,length,9,9,3
site,akoats,http,9,9,2
structures,e.g,otoliths,9,9,3
temperature,site,akoats,9,9,2
commercial,fishing,permits,8,8,3
entry,fisheries,include,8,8,3
entry,fisheries,limited,8,8,3
fisheries,entry,commision,8,7,3
fisheries,limited,entry,8,8,3
fishing,permits,including,8,8,3
independent,autonomous,agency,8,8,3
migration,escapement,data,8,8,3
past,elevated,towers,8,8,3
peak,spawning,activity,8,8,3
people,project,https,8,8,6
permits,including,permits,8,8,3
project,https,alaskasalmonandpeople.org,8,8,6
projects,utilize,observers,8,8,3
represent,total,abundance,8,8,3
stationary,projects,utilize,8,8,3
subsistence,salmon,harvests,8,8,3
utilize,observers,stationed,8,8,3
24h,period,escapement,7,7,3
adf,amp,amp,7,5,4
alaska's,unique,fishery,7,7,3
amp,amp,amp,7,3,3
boosting,economic,stability,7,7,3
chinook,chum,coho,7,7,3
chum,coho,pink,7,7,3
elevated,towers,sonar,7,7,3
entry,commision,cfec,7,7,3
length,data,provide,7,7,2
people,sasap,https,7,7,2
period,escapement,data,7,7,3
populations,trends,occur,7,7,2
sea,3,winters,7,7,4
species,chinook,chum,7,7,3
stationary,escapement,count,7,7,3
sustained,yield,management,7,7,3
towers,sonar,equipment,7,7,3
unique,fishery,resources,7,7,3
1,km,cru,6,2,1
1975,2016,knowledge,6,4,3
fishery,frequently,located,6,6,3
hourly,stream,temperature,6,6,2
km,cru,ts,6,2,1
landscape,conservation,cooperative,6,2,1
people,project,sasap,6,6,5
salmon,escapement,data,6,6,4
salmon,fishery,frequently,6,6,3
site,level,metadata,6,6,2
sockeye,age,estimates,6,6,3
species,escapement,data,6,6,3
temperature,data,files,6,6,2
brood,tables,collected,5,5,3
collected,hourly,stream,5,5,1
dataset,includes,information,5,4,3
ensure,effective,management,5,5,3
federal,subsistence,board,5,3,3
fishing,vessels,tenders,5,5,3
http,live.laborstats.alaska.gov,seafood,5,3,1
http,www.adfg.alaska.gov,index.cfm,5,4,4
includes,fishing,vessels,5,5,3
mature,salmon,migrating,5,5,2
national,park,service,5,4,3
original,data,files,5,3,1
packers,processors,transporter,5,5,3
permit,owner,resides,5,1,1
processors,transporter,vessels,5,5,3
spawning,salmon,abundance,5,5,2
stream,temperature,monitoring,5,5,1
temperature,monitoring,sites,5,5,1
tenders,packers,processors,5,5,3
total,fish,age,5,5,2
vessels,tenders,packers,5,5,3
www.adfg.alaska.gov,index.cfm,adfg,5,4,4
2b5ab57e,38ec,4bc9,4,4,1
2c1c26fc,bfb9,4b6a,4,4,1
38ec,4bc9,8290,4,4,1
4b6a,8d4a,0be8e61c4deb,4,4,1
4bc9,8290,f080ec0befb4,4,4,1
bfb9,4b6a,8d4a,4,4,1
cru,ts,dataset,4,2,1
data,files,file,4,4,1
files,file,names,4,4,1
geological,survey,usgs,4,4,2
included,python,script,4,4,1
includes,site,level,4,4,1
length,asl,data,4,4,4
national,hydro,network,4,4,1
original,excel,file,4,4,2
pacific,salmon,escapement,4,3,2
salmon,brood,tables,4,4,4
salmon,escapement,goals,4,3,2
sasap_regions.zip,shapefile,located,4,4,1
sasap_watersheds_gapfix.zip,shapefile,located,4,4,1
upper,cook,inlet,4,4,2
urn:uuid,2b5ab57e,38ec,4,4,1
urn:uuid,2c1c26fc,bfb9,4,4,1
view,urn:uuid,2b5ab57e,4,4,1
view,urn:uuid,2c1c26fc,4,4,1
2019,knowledge,network,3,3,2
adfg,fish,passage,3,1,1
alaska,administrative,code,3,3,1
alaska,hydrologic,survey,3,1,1
analysis,tool,developed,3,3,1
asl,data,provide,3,3,3
assist,wild,salmon,3,3,1
canadian,national,hydro,3,3,1
clark,rachel,carlson,3,3,2
coded,wire,tag,3,1,1
commercial,fishing,district,3,2,2
commercial,harvest,data,3,1,1
creative,commons,attribution,3,3,1
escapement,escapement,data,3,3,1
fish,passage,inventory,3,1,1
fisheries,entry,permits,3,1,1
fishery,disaster,determinations,3,1,1
game,commercial,fisheries,3,2,1
historical,monthly,precipitation,3,1,1
historical,monthly,temperature,3,1,1
http,ckan.snap.uaf.edu,dataset,3,3,1
http,www.adfg.alaska.gov,sf,3,3,1
identify,fish,stocks,3,3,1
international,joint,commission,3,3,1
jeanette,clark,rachel,3,3,2
live.laborstats.alaska.gov,seafood,statewide,3,2,1
log,tracking,system,3,1,1
monthly,precipitation,1,3,1,1
monthly,temperature,1,3,1,1
national,historical,park,3,1,1
north,pacific,ocean,3,2,2
north,pacific,rim,3,3,1
original,brood,tables,3,3,1
passage,inventory,database,3,1,1
population,trends,occur,3,3,3
precipitation,1,km,3,1,1
project,188,watersheds,3,3,1
project,2019,knowledge,3,3,2
public,permit,database,3,2,2
resources,exist,alongside,3,3,1
riverscape,analysis,tool,3,3,1
sasap,project,188,3,3,1
sasap,project,2019,3,3,2
shapefile,jared,kibele,3,2,1
subsistence,salmon,harvest,3,2,1
temperature,1,km,3,1,1
wild,resources,exist,3,3,1
wild,salmon,conservation,3,3,1
workforce,development,website,3,3,2
10.18128,d050,v12.0,2,2,2
12.0,database,minneapolis,2,2,2
1990s,era,landsat,2,2,1
2010,national,land,2,1,1
2017,http,doi.org,2,2,2
2018,commercial,fisheries,2,1,1
4.0,https,creativecommons.org,2,2,1
5,aac,39.222,2,2,1
5,satellite,data,2,2,1
address,change,forms,2,2,2
adfg,subsistence,division,2,1,1
adopt,regulations,governing,2,2,1
adult,salmon,spawn,2,2,1
age,sex,length,2,1,1
alaska,1975,2016,2,2,2
alaska,climate,science,2,2,1
alaska,fisheries,enhancement,2,1,1
alaska,fishery,regulations,2,2,1
alaska,landscape,conservation,2,2,1
alaska,native,language,2,1,1
alaska,sport,fishing,2,1,1
alaska,wide,tiff,2,2,1
alaska,wildlife,troopers,2,1,1
