word1,word2,word3,n,unique_ids,unique_authors
observed,average,temperature,4381,1,1
fish,escaping,upstream,263,1,1
escapement,project,location,262,1,1
escaping,upstream,species,262,1,1
fish,species,identifier,262,1,1
project,location,identifier,262,1,1
species,identifier,location,262,1,1
location,identifier,date,261,1,1
uaa,alaska,center,241,10,3
unique,identifier,assigned,241,10,3
4th,quarter,winter,232,1,1
1st,quarter,spring,230,1,1
2nd,quarter,summer,230,1,1
3rd,quarter,fall,230,1,1
nceas,obtaining,data,172,6,2
celsius,unique,identifier,107,3,1
data,qc'ed,prior,107,3,1
degrees,celsius,unique,107,3,1
measured,air,temperatures,107,3,1
nceas,obvious,outliers,107,3,1
obvious,outliers,data,107,3,1
sampletime,information,date,104,3,1
stream,temperature,measured,91,6,3
data,missing,sampledate,65,3,2
data,source,agency,63,11,3
collected,hourly,time,60,1,1
conservation,science,indexes,60,1,1
measured,temperature,measured,60,1,1
measured,unique,identifier,60,1,1
science,indexes,observations,60,1,1
stream,temperature,data,60,1,1
temperature,measured,unique,60,1,1
missing,information,date,59,1,1
1901,observed,average,38,1,1
1902,observed,average,38,1,1
1903,observed,average,38,1,1
1904,observed,average,38,1,1
1905,observed,average,38,1,1
1906,observed,average,38,1,1
1907,observed,average,38,1,1
1908,observed,average,38,1,1
1909,observed,average,38,1,1
1910,observed,average,38,1,1
1911,observed,average,38,1,1
1912,observed,average,38,1,1
1913,observed,average,38,1,1
1914,observed,average,38,1,1
1915,observed,average,38,1,1
1916,observed,average,38,1,1
1917,observed,average,38,1,1
1918,observed,average,38,1,1
1919,observed,average,38,1,1
1920,observed,average,38,1,1
1921,observed,average,38,1,1
1922,observed,average,38,1,1
1923,observed,average,38,1,1
1924,observed,average,38,1,1
1925,observed,average,38,1,1
1926,observed,average,38,1,1
1927,observed,average,38,1,1
1928,observed,average,38,1,1
1929,observed,average,38,1,1
1930,observed,average,38,1,1
1931,observed,average,38,1,1
1932,observed,average,38,1,1
1933,observed,average,38,1,1
1934,observed,average,38,1,1
1935,observed,average,38,1,1
1936,observed,average,38,1,1
1937,observed,average,38,1,1
1938,observed,average,38,1,1
1939,observed,average,38,1,1
1940,observed,average,38,1,1
1941,observed,average,38,1,1
