word1,word2,word3,n,unique_ids,unique_authors
data,data,source,3,3,1
original,numeric,id,3,3,1
region,id,region,3,3,1
source,data,data,3,3,1
watershed,original,numeric,3,3,1
lakes,standard,deviation,2,1,1
mining,footprints,average,2,1,1
mining,footprints,density,2,1,1
1993,maximum,1993,1,1,1
1993,minimum,1993,1,1,1
1993,range,1993,1,1,1
1993,standard,deviation,1,1,1
1993,sum,1993,1,1,1
2009,difference,1993,1,1,1
2009,maximum,2009,1,1,1
2009,minimum,2009,1,1,1
2009,range,2009,1,1,1
2009,sum,2009,1,1,1
access,community,road,1,1,1
adfg,region,ac,1,1,1
alaska,region,id,1,1,1
budget,villages,active,1,1,1
community,road,connection,1,1,1
confidential,sector,source,1,1,1
data,source,average,1,1,1
date,ruralurban,multisingle,1,1,1
deviation,1993,maximum,1,1,1
deviation,2009,maximum,1,1,1
ferry,access,community,1,1,1
footprints,watershed,id,1,1,1
glaciers,watershed,id,1,1,1
id,standard,deviation,1,1,1
lakes,watershed,id,1,1,1
maximum,1993,sum,1,1,1
maximum,2009,sum,1,1,1
meeting,date,ruralurban,1,1,1
minimum,1993,range,1,1,1
minimum,2009,range,1,1,1
mining,footprints,watershed,1,1,1
multisingle,road,travel,1,1,1
proportion,confidential,sector,1,1,1
range,1993,standard,1,1,1
range,2009,difference,1,1,1
region,adfg,region,1,1,1
region,id,standard,1,1,1
region,species,proportion,1,1,1
road,travel,budget,1,1,1
ruralurban,multisingle,road,1,1,1
sasap,region,adfg,1,1,1
sasap,region,species,1,1,1
sector,source,report,1,1,1
source,average,elevation,1,1,1
source,report,harvest,1,1,1
species,proportion,confidential,1,1,1
standard,deviation,1993,1,1,1
standard,deviation,2009,1,1,1
travel,budget,villages,1,1,1
