word1,word2,word3,n,unique_ids,unique_authors
age,sex,length,12,12,5
commercial,fishing,featured,12,12,5
stream,characteristics,temperature,11,11,3
characteristics,featured,biophysical,7,7,1
watershed,characteristics,featured,7,7,1
economic,commercial,fishing,5,5,2
brood,table,featured,3,3,3
fishing,featured,sociocultural,3,3,1
commercial,fishing,economic,2,2,1
demographic,featured,sociocultural,2,2,2
economic,featured,sociocultural,2,2,1
escapement,featured,biophysical,2,2,1
featured,ocean,climate,2,2,2
featured,sociocultural,economic,2,2,1
fishing,economic,featured,2,2,1
fishing,featured,economic,2,2,2
harvest,commercial,fishing,2,2,1
hatcheries,featured,biophysical,2,2,2
ocean,distribution,featured,2,2,2
sport,fishing,featured,2,2,1
table,featured,biophysical,2,2,2
biophys,stream,characteristics,1,1,1
biophysical,harvest,escapement,1,1,1
climate,age,sex,1,1,1
commercial,fishing,census,1,1,1
demographic,featured,economic,1,1,1
demographic,sociocultural,featured,1,1,1
distribution,featured,biophysical,1,1,1
distribution,featured,ocean,1,1,1
featured,community,monitoring,1,1,1
featured,sociocultural,biophysical,1,1,1
fishing,survey,featured,1,1,1
governance,commercial,fishing,1,1,1
governance,featured,community,1,1,1
harvest,governance,featured,1,1,1
harvest,sport,fishing,1,1,1
ocean,climate,age,1,1,1
precipitation,featured,biophysical,1,1,1
sociocultural,biophysical,harvest,1,1,1
sociocultural,economic,commercial,1,1,1
survey,featured,sociocultural,1,1,1
table,featured,ocean,1,1,1
temperature,featured,biophysical,1,1,1
watershed,characteristics,biophysical,1,1,1
watershed,characteristics,land,1,1,1
