word1,word2,word3,n,unique_ids,unique_authors
salmon,brood,tables,11,11,6
salmon,age,sex,10,10,5
situ,stream,temperature,10,10,3
stream,temperature,monitoring,10,10,3
sockeye,salmon,brood,7,7,4
commercial,fisheries,entry,6,6,3
hydrologic,unit,huc8,6,6,1
cook,inlet,alaska,5,5,1
salmon,escapement,counts,5,5,2
daily,salmon,escapement,4,4,2
unit,huc8,boundary,4,4,1
alaska,1975,2016,3,3,2
bristol,bay,alaska,3,3,2
daily,escapement,counts,3,3,2
fisheries,entry,commission,3,3,1
prince,william,sound,3,3,3
alaska,1955,2016,2,2,1
alaska,2011,2017,2,2,2
alaska,u.s,geological,2,2,1
bay,alaska,1955,2,2,1
brood,tables,northeast,2,2,2
chinook,salmon,brood,2,2,2
coho,salmon,brood,2,2,2
commercial,salmon,harvest,2,2,1
fisheries,entry,commision,2,2,2
geological,survey,usgs,2,2,1
kuskokwim,river,alaska,2,2,2
lower,cook,inlet,2,2,2
monitoring,southwest,alaska,2,2,1
pacific,salmon,escapement,2,2,1
salmon,escapement,goals,2,2,1
salmon,harvest,data,2,2,1
salmon,permit,holders,2,2,1
tables,northeast,pacific,2,2,2
temperature,monitoring,southwest,2,2,1
u.s,geological,survey,2,2,1
unit,huc8,boundaries,2,2,1
upper,cook,inlet,2,2,1
1976,2018,alaska,1,1,1
abundance,1925,2015,1,1,1
alaska,1921,2017,1,1,1
alaska,1931,2011,1,1,1
alaska,1952,2017,1,1,1
alaska,1955,2017,1,1,1
alaska,1957,2009,1,1,1
alaska,1958,2016,1,1,1
alaska,1960,2012,1,1,1
alaska,1960,2017,1,1,1
alaska,1961,2014,1,1,1
alaska,1965,2016,1,1,1
alaska,1967,2016,1,1,1
alaska,1968,2016,1,1,1
alaska,1970,2012,1,1,1
alaska,1974,2014,1,1,1
alaska,1979,2017,1,1,1
alaska,1981,2015,1,1,1
alaska,1988,2016,1,1,1
alaska,1988,2017,1,1,1
alaska,1995,2016,1,1,1
alaska,1996,2016,1,1,1
alaska,1997,2016,1,1,1
alaska,2000,2012,1,1,1
alaska,2000,2017,1,1,1
alaska,2002,2017,1,1,1
alaska,2008,2015,1,1,1
alaska,2008,2017,1,1,1
alaska,2008,2018,1,1,1
alaska,2009,2016,1,1,1
alaska,2010,2015,1,1,1
alaska,2011,2016,1,1,1
alaska,2013,2017,1,1,1
alaska,2014,2017,1,1,1
alaska,based,derived,1,1,1
