"identifier","abstract","keywords","title","project","attribute"
"doi:10.5063/F1T151XN","This dataset contains annual commercial salmon harvest information from fisheries in Alaska from 1975-2016, provided by the Alaska Department of Fish and Game (ADF&amp;amp;G).
        Included are the number of fish caught by salmon species, the number of people and permits issued, and the number of fish processors used, and vessels used.
        Three files are included with differing geographic resolutions, which from coarse to fine consist of spatial resolutions: commercial fishing area, commercial fishing district, and commercial fishing subdistrict.
        All files are annual with the exception of one, which organizes harvest data by statistical week. This time scale facilitates aggregated catch comparisons between years. Note that some rows within each file
        are marked as confidential when the number of either permits, people, or processors is under 3. Finer spatial or temporal resolution datasets result in more confidential rows. These data are provided to facilitate
        understanding of commercial harvest of salmon in Alaska, and how this harvest changes both over time and space. Data shown here were modified slightly from what was provided by (ADF&amp;amp;G) by replacing internal species
        and gear codes with more readily understandable species names and gear descriptions.","harvest commercial fishing economic featured sociocultural economic, well being","Commercial salmon harvest data: gross earnings and number of fish, Alaska, 1975-2016","State of Alaska's Salmon and People","YEAR  Year commercial harvest data was collected AREA  Location of commercial harvest data collection District  Management district based on species ADFG_H_GEAR_CODE  ADFG names for the specific apparatus or equipment used to catch fish ADFG_I_SPECIES_CODE  Species of salmon (oncorhynchus sp.) caught Value  The estimated ex-vessel value (gross earnings) of a fish ticket item based on the net pounds multiplied by the price per pound. These data unadjusted US dollars, meaning values in 1975 are in 1975 dollars, values in 1976 are in 1976 dollars, etc. dimensionless NETPOUNDS  Total weight of fish catch in Total weight of fish catch in pounds pound WholeLbs  The round pound value of fish. A product recovery rate is used to get back to a whole fish. This was not applied in the database ubiquitously until later, thus data in this column is ""0."" pound people_count  Number of people utilizing ADFG permits number permit_count  Number of ADFG permits accounted for in observation number processor_count  The number of processors who purchased salmon number No_of_Fish  Number of fish caught number vessel_count  Number of vessel catches recorded in observation number CONFIDENTIAL  A confidential designation is given when the number of either permits, people, or processors is under 3 Gear  Name of gear defined by ADFG gear code Species  Name of species defined by ADFG species code SASAP.Region  SASAP region of harvest, derived from the district ADFG_H_GEAR_CODE  ADFG codes for the specific apparatus or equipment used to catch fish NETPOUNDS  Total weight of fish catch in pounds pound WholeLbs  The round pound value of fish. A product recovery rate is used to get back to a whole fish. This was not applied in the database ubiquitously until later, thus data in this column is '0.' pound ADFG_H_DATE_LANDED  The date fish are off-loaded or trans-shipped from the catcher vessel to the first purchaser. vessel_count  Number of vessel catches recorded in oberservation number ADFG_H_STAT_WEEK  A time scale used for reporting catch in commercial fisheries that facilitates aggregated catch comparisons between years. Statistical weeks begin on Monday, end on Sunday and only contain dates from one calendar year. Therefore, the first and last statistical weeks of a calendar year can range from 1 to 7 days. Thus, there can be more than 52 statistical weeks in a year. The first statistical week of the year begins on January 1 and the last statistical week of the year ends on December 31. For example, if January 1 falls on a Sunday, statistical week 1 is Jan number ADFG_I_STAT_AREA  The five or six-digit ADF&G statistical code denoting a specific area of catch. Statistical areas are unique to the fishery ""type"". For example, there are unique statistical areas for salmon, herring, and shellfish/groundfish harvests. Salmon fisheries utilize a five-digit stararea number, which represents the district and subdistrict area of harvest."
"doi:10.5063/F1VT1QB1","As salmon migrate from the marine environment to freshwater streams to spawn, a certain number are allowed to pass through, or escape the salmon fishery (frequently located near the mouth of the freshwater stream) as a management strategy to preserve the species. Escapement data are the enumeration of these migrating fish as they pass upstream, and represent an index of the total abundance of spawning salmon in that particular stream. These data are important for fisheries management, since most salmon harvest occurs in or near freshwater rivers during this migration. Escapement data are collected in a variety of ways. Stationary projects utilize observers stationed along freshwater corridors who count salmon as they pass upriver through weirs or past elevated towers. Sonar equipment placed in the river can also give a stationary escapement count. These counts usually represent a sample, and are expanded to represent a 24h period. Escapement data can also be collected using aerial surveys, where observers in an aircraft provide an index to estimate escapement. In general, escapement counts do not represent total abundance, but instead an index of abundance. Surveys are usually timed to coincide with peak spawning activity, generally in the summer, but in the case of Coho salmon in the fall as well. This dataset contains salmon escapement data extracted from the Alaska Department of Fish and Game's OceanAK database, and contains data from multiple regions in Alaska.","escapement","Daily salmon escapement counts from the OceanAK database, Alaska, 1921-2017","State of Alaska's Salmon and People","Location Name  River/system name where escapement data were taken Area  Area where data were taken Count Date  Date of escapement counts Species  Species of fish being counted Daily Count  Daily escapement count number Collection Method  Method of count Location Description  Description of location Latitude  Latitude of count location degree Longitude  Longitude of count location degree Location  River/system name where escapement data were taken SASAP.Region  Region where data were taken sampleDate  Date of escapement counts DailyCount  Daily escapement count number Method  Method of count Source  Source of original data"
"doi:10.5063/F1XS5SP4","This dataset includes Alaska commercial loan data from 1976-2016. These data were used for the State of Alaska Salmon and People (SASAP) project to examine fisheries related loans. The goal of the commercial fishing loan program is to provide long-term, low interest loans to improve the quality of Alaska seafood products. The program is operated by the Alaska Department of Commerce, Community, and Economic Development; Division of Economic Development. The loans promote development of resident fisheries and maintenance of commercial fishing vessels and gear and are available to individuals who have been Alaska residents for the past 2 years. Loans are available for purchases made within the 12 months prior to loan application or to refinance vessel or gear loans made by other lenders more than 12 months before loan application. Interest rates are fixed at the time of loan approval. The fisheries related loans data used by SASAP are associated with hatcheries (fisheries enhancement) and individual fishermen, and can be identified using the ""Fund Abbreviation"" column, with relevant codes being CF (Commercial Fishing) and FE (Fisheries Enhancement). The purposes of these codes can be looked up in the provided list of current and historical loan codes.","economic featured well being","Commercial loans data, Alaska","State of Alaska's Salmon and People","leadCde  Numeric code corresponding to the loan fund loanFund  Loan fund loanType  Numeric code indicating the loan type dimensionless loanNumber  Unique identifier for the loan originalPrincipalBalance  The original principal balance unAdjustedUSDollar mailCity  City of mailing address of loan holder mailState  State of mailing address of loan holder mailCountry  Country of mailing address of loan holder closingDate  Purchase closing date maturityDate  Loan maturity date yearLoanMade  Year in which the loan was made. Corresponds to the year of the closing date. loanTerm_Years  Length of loan term in years nominalYear NAICS  North American Industry Classification System (NAICS) code notes  Additional information pertaining to the loan"
"doi:10.5063/F1CJ8BRD","Subsistence fishing is important for the economies and cultures of many families and communities in Alaska. Subsistence uses of wild resources exist alongside other important uses of fish and game in Alaska and are especially important for many rural families who depend on subsistence use for nutrition and traditional cultural practices. Subsistence use is defined as the noncommercial, customary harvest and processing of wild resources for food, raw materials, and other traditional uses. These customs have been a central part of the traditions of many cultural and tribal groups in Alaska for centuries. Today, subsistence and personal use fisheries are open only to Alaska residents that have been living in the state for at least one year. Subsistence and personal use fisheries are managed under different regulations and thus regulations vary by fishery and location across the state. For example, only some fisheries require a permit issued by the Alaska Department of Fish and Game and some waters are closed to subsistence fishing, other fisheries have season, gear, and/or bag limit restrictions. Finfish other than salmon, rainbow trout, and steelhead trout may be taken for subsistence purposes at any time in any area of the state by any method unless restricted by the subsistence fishing regulations in the Alaska Administrative Code. Salmon are more strictly regulated and the fisheries require permits, only allow certain gear types, and are restricted to certain waters in the state. The Board of Fisheries (BOF) has the authority to adopt regulations governing the use of fish resources in Alaska. In order to regulate subsistence fisheries and ensure sustainability, the BOF is directed by Alaskan state law to identify fish stocks that are customarily and traditionally used for subsistence in Alaska. After customary and traditional use has been determined for a stock, the amount reasonably necessary for subsistence is set. This is often referred to as the ""ANS."" ANS is typically set for an entire fishery, but occasionally for sub-regions within that fishery. In the Glennallen Subdistrict, there are 3 ANS regions: Lower - confluence of Lower Tonsina and Copper Rivers to the downstream edge of the Chitina-McCarthy bridge; Middle: between the mouth of the Tonsina River and the mouth of the Gakona River; Upper: mouth of the Gakona River to mouth of the Slana river and the Batzulnetas area. ANS values for these regions are as follows: Lower - 25,500-39,000 salmon; Middle - 23,500-31,000 salmon; Upper - 12,000-12,500 salmon. See Fall, J.A., M. Turek, and L. Naves. 2009. Overview of amounts reasonably necessary for subsistence uses of salmon in Southeast Alaska. Division of Subsistence Special Publication No. BOF 2009-03, Anchorage. http://www.adfg.alaska.gov/specialpubs/SP2_SP2009-003.pdf. This dataset includes information on subsistence salmon harvest from 1988-2016 in the Glennallen Subdistrict of Alaska. This dataset includes information on the amount of harvest by community and year, additionally broken down by species and the type of gear used. The csv file ""Glennallen_Harvest.csv"" has been reformatted from the original file (""Glennallen District By Gear and Permit - All Years.csv""). This processing was done using the R Markdown file, ""Glennallen_Subsistence.Rmd"", which moves the file from wide to long format, and creates some simple plots. The file ""Glennallen District Gear Permit ANS District - 2011-2015.csv"" includes subsistence harvest information by ANS region, allowing the evaluation of the harvest for these years with respect to the ANS set by the Board of Fisheries.","harvest, subsistence and personal use fishing featured well being","Subsistence Harvest of Salmon from Glennallen Subdistrict, Alaska, 1988-2016","State of Alaska's Salmon and People","Fishery_Name  Name of subsistence fishery Community  Community of residence of permit holder Year  Year of harvest Permit_Type_Name  Type of subsistence permit Gear_Type_Name  Type of gear used for harvest Issued  Number of permits issued number Returned  Number of permits returned (fished) number Species  Species of harvest NumFish  Number of fish harvested number lat  Latitude of community degree lng  Longitude of community degree region  SASAP region where community is located Permit_Type_Name  name of permit type Gear_Type_Name  name of gear type Issued  number of permits issued number Returned  number of permits returned number Chinook  number of chinook harvested number Chinook_Lbs  amount of pounds of chinook harvested pound Sockeye  number of sockeye harvested number Sockeye_Lbs  amount of pounds of sockeye harvested pound Coho  number of coho harvested number Coho_Lbs  amount of pounds of coho harvested pound Chum  number of chum harvested number Chum_Lbs  amount of pounds of chum harvested pound Pink  number of pink harvested number Pink_Lbs  amount of pounds of pink harvested pound Total_Salmon  number of total salmon (all species) harvested number Total_Salmon_Lbs  amount of pounds of total salmon (all species) harvested pound Fishery.Name  Name of subsistence fishery commcode  unique identifier for community Permit.Type  type of permit fished GearType  gear used in fishing Location  location used to demarcate Amount Necessary for Subsistence (ANS) region Chinook  number of chinook salmon harvested number Chinook.Lbs  pounds of chinook salmon harvested pound Sockeye  number of sockeye salmon harvested number Sockeye.Lbs  pounds of sockeye salmon harvested pound Coho  number of coho salmon harvested number Coho.Lbs  pounds of coho salmon harvested pound Chum  number of chum salmon harvested number Chum.Lbs  pounds of chum salmon harvested pound Pink  number of pink salmon harvested number Pink.Lbs  pounds of pink salmon harvested pound Total.Salmon  total number of salmon harvested (all species) number Total.Salmon.Lbs  total pounds of salmon harvested (all species) pound"
"doi:10.5063/F17S7M2J","The Kuskokwim inseason subsistence catch monitoring project, a partnership between the Orutsararmiut Traditional Native Council (OTNC) and the Alaska Department of Fish and Game (ADF&G), seeks to provide local input from subsistence fisherman on salmon management during the fishing season (Fishery Management Report No. 16-06). Salmon are a highly important resource to residents of the Kuskokwim river drainage, and account for the majority of all wild resources consumed for subsistence in this watershed. The subsistence harvest monitoring program began in 2001, and as of 2004 has specifically centered on the Bethel area subsistence fishery. The OTNC surveys fish camps in the Bethel area every year in June and July for information about fishing activity, whether the camps are reaching their subsistence goals, what kind of fishing gear they are using, and relative run timing and fishing success compared to previous years. Certain data from these forms was redacted to ensure the exact location of the fish camps and families fishing there are kept confidential. Forms were transcribed in to tabular format for each weekly visit to a fish camp. These forms were then reformatted into the summary table, Fish_Camp_Summary_Table.csv. Additional information on project objectives, methods, and results can be found in the archived files ending in ""...InseasonHarvestMonitoring.pdf"". The files ending in ""...infopacket.pdf"" are weekly reports from the OTNC and Kuskokwim River Salmon Management Working Group, which contain data summaries, analyses, and comments from meetings that were held about each of the weekly surveys. The date listed in the file name is the date of the meeting for that weekly survey.","harvest subsistence and personal use fishing survey featured sociocultural well being","Summary data of subsistence salmon catch from in-season fish camp surveys, Lower Kuskokwim River, Alaska, 2009-2016","State of Alaska's Salmon and People","Active_Camps  Number of active fish camps in this year number Avg_Families_Per_Camp  Average number of families per fish camp number Communities  Number of communities represented number Earliest_Start_Date  Earliest date a family started fishing Latest_Start_Date  Latest date a family started fishing Avg_Start_Date  Average date a family started fishing Chinook_Goal  Average chinook salmon harvesting goal number Missing_Chinook_Goal  Number of missing values associated with the Chinook_Goal response number Chum_Goal  Average chum salmon harvesting goal number Missing_Chum_Goal  Number of missing values associated with the Chum_Goal response number Sockeye_Goal  Average sockeye salmon harvesting goal number Missing_Sockeye_Goal  Number of missing values associated with the Sockeye_Goal response number Chinook_Goal_Achieved  Proportion of fish camps that achieved their chinook salmon harvesting goals number Missing_Chinook_Achieved  Number of missing values associated with the Chinook_Goal_Achieved response number Chum_Goal_Achieved  Proportion of fish camps that achieved their chum salmon harvesting goals number Missing_Chum_Achieved  Number of missing values associated with the Chum_Goal_Achieved response number Sockeye_Goal_Achieved  Proportion of fish camps that achieved their sockeye salmon harvesting goals number Missing_Sockeye_Achieved  Number of missing values associated with the Sockeye_Goal_Achieved response number Chinook_Early  Number of fish camps that reported chinook salmon run timing as ""early"" number Chinook_Normal  Number of fish camps that reported chinook salmon run timing as ""normal"" number Chinook_Late  Number of fish camps that reported chinook salmon run timing as ""late"" number Missing_Chinook_Timing  Number of missing values associated with Chinook_Early, Chinook_Normal, and Chinook_Late responses number Chum_Early  Number of fish camps that reported chum salmon run timing as ""early"" number Chum_Normal  Number of fish camps that reported chum salmon run timing as ""normal"" number Chum_Late  Number of fish camps that reported chum salmon run timing as ""late"" number Missing_Chum_Timing  Number of missing values associated with Chum_Early, Chum_Normal, and Chum_Late responses number Sockeye_Early  Number of fish camps that reported sockeye salmon run timing as ""early"" number Sockeye_Normal  Number of fish camps that reported sockeye salmon run timing as ""normal"" number Sockeye_Late  Number of fish camps that reported sockeye salmon run timing as ""late"" number Missing_Sockeye_Timing  Number of missing values associated with Sockeye_Early, Sockeye_Normal, and Sockeye_Late responses number"
"doi:10.5063/F1416VB4","This dataset is compiled from Tables 1-4 from the report ""Summary of Pacific salmon escapement goals in Alaska with a review of escapements from 2001 to 2009.” Escapement is defined as the number of mature salmon migrating from the marine environment to freshwater streams. Escapement data are the enumeration of these migrating fish as they pass upstream, and are a widely used index of spawning salmon abundance. These data are important for fisheries management, since most salmon harvest occurs in freshwater rivers during this migration. As a part of management of these salmon stocks, some Alaskan river systems are assigned escapement goals, which generally represent the number of salmon that need to be given the opportunity to spawn to ensure survival of the stock. Generally there are three common types of escapement goals. Biological Escapement Goals (BEGs) are defined in Alaska fishery regulations 5 AAC 39.222(f) as ""the escapement that provides the greatest potential for maximum sustained yield."" Sustainable Escapement Goals (SEGs) are defined in the same section as ""a level of escapement, indicated by an index or an escapement estimate, that is known to provide for sustained yield over a 5 to 10 year period, used in situations where a BEG cannot be estimated or managed for."" Optimal Escapement Goals (OEGs) are defined as ""a specific management objective for salmon escapement that considers biological and allocative factors and may differ from the SEG or BEG.""","escapement biophysical","Summary of Pacific Salmon Escapement Goals in Alaska with a Review of Escapements from 2001 to 2009","State of Alaska's Salmon and People","Area  ADFG management area Species  Salmon species Region  ADFG management region System  River system of escapement goals Lower  Lower bound escapement goal number Upper  Upper bound escapement goal number Type  Escapement goal type Year.Implemented  Year escapement goal implemented X2001  Annual escapement 2001 number X2002  Annual escapement 2002 number X2003  Annual escapement 2003 number X2004  Annual escapement 2004 number X2005  Annual escapement 2005 number X2006  Annual escapement 2006 number X2007  Annual escapement 2007 number X2008  Annual escapement 2008 number X2009  Annual escapement 2009 number"
"doi:10.5063/F1QR4VCB","The Well Log Tracking System (WELTS) contains lithologic information submitted to the Division of Mining,
Land and Water, Alaska Hydrologic Survey by water well contractors as required per Alaska State Statute 41.08.020(b4) authority delegated to the Alaska Hydrologic Survey per Department Order 115, require of water well contractors, the filing with it of basic water and aquifer data normally obtained, including but not limited to well location, estimated elevation, well driller's logs, pumping tests and flow measurements, and water quality determinations. Additionally, per Alaska Administrative Code, Title 11 Natural Resources, Part 6 Lands, Chapter 93 Water Management, Article 2 Appropriation and Use of Water 11 AAC 93.140
(a):For a drilled, driven, jetted, or augered well constructed, the water well contractor or a person who constructs
the well shall file a report within 45 days after completion with both the property owner and the department.
The report must contain the following information as applicable:
(1) the method of construction;
(2) the type of fluids used for drilling;
(3) the location of the well;
(4) an accurate log of the soil and rock formations encountered and the depths at which the formations occur;
(5) the depth of the casing;
(6) the height of the casing above ground;
(7) the depth and type of grouting;
(8) the depth of any screens;
(9) the casing diameter;
(10) the casing material;
(11) the depth of perforation or opening in the casing;
(12) the well development method;
(13) the total depth of the well;
(14) the depth of the static water level;
(15) the anticipated use of the well;
(16) the maximum well yield;
(17) the results of any well yield, aquifer, or drawdown test that was conducted;
(18) if the water well contractor or person who constructs the well installs a pump at the time of construction,
the depth of the pump intake and the rated pump capacity at that depth.

(b) When the drill rig is removed from the well site, the well must be sealed with a sanitary seal and a readily accessible means provided to allow for monitoring of the static water level in the well.

(c) A hand-dug well that is permanently decommissioned shall be filled by the land owner to a point 12 inches above the existing ground level with well-compacted impermeable material.

(d) A well, other than a hand-dug well, that is permanently decommissioned by the owner of the well must comply with the requirements of 18 AAC 80.015(e) .

(e) If the department believes that an encounter of oil, gas, or other hazardous substance is likely to result from well drilling, the department will notify the Alaska Oil and Gas Conservation Commission, and the provisions of AS 31.05.030 (g) may apply.

(f) The department will notify the Department of Environmental Conservation of any permanently abandoned well that may contaminate water of the state under the provisions of 18 AAC 80.

(g) Information required by (a) of this section is required for any water well that has been deepened, modified, or abandoned, and for any water supply well or water well that is used for monitoring, observation, or aquifer testing, including a dry or low-yield water well that is not used.

This shape  file characterizes the geographic representation of well logs within the State of Alaska contained in the Well Log Tracking System.
The shape file was developed using well location information submitted with well logs.

Well locations represented by a gold star symbol, represent the approximate (centroid) location, and may represent a cluster of wells.

Well locations represented by a blue circle symbol, represent wells submitted with latitude and longitude coordinates.

Each feature has an associated attribute record, including a  Well Log Tracking System identification number which serves as an index to case-file information. Those requiring more information regarding WELTS should contact the Alaska Department of Natural Resources Alaska Hydrologic Survey directly.","land use","Locations of Wells in Alaska using the Well Log Tracking System, 2016","State of Alaska's Salmon and People","LOG_ID  Well log record identifier MERID  Principal meridian TWNSHP  Township SECTION  Section QTR_SEC  Quarter Section LOCATION_NOTE  Note on location MAPNUM  Map number STATUS  Well status COMPANY_NAME  The company name of the well driller. FULL_NAME  The full name of the well driller. OWNER  The name of the land owner at the time the well was drilled. REGION  Region of well location CITY  City of well location PDESC  The location description with subdivision, lot, and block, highway marker, or other description provided by the driller. SUBDIVISION  Subdivision of well location LOT  Lot of well location BLOCK  Block of well location TRACT  Tract of well location LAT  Latitude degree LON  Longitude degree LL_SOURCE  Location source and accuracy code. DOE  Date of Entry into WELTS system MODDATE  The date a change was made to the record in WELTS MODUSER  Who made the change in WELTS - typically an authorized admin (state emplotee or authorized well driller) DATE_START  Date drilling started DATE_COMPLETE  Date drilling completed DRILL_METHOD  Method used for drilling WELL_USE  Use of well HOLE_DEPTH  The depth of the hole drilled (ft) foot BEDROCK_DEPTH  Depth to bedrock (ft) foot CASING_STICKUP  Length casing sticks out of ground (ft) foot CASING_TYPE  Type of casing CASING_THICK  Thickness of casing (inches) inch CASING_DIA  Casing diameter (inches) inch CASING_DEPTH  Depth of casing (ft) foot LINER_TYPE  Type of liner LINER_DIA  Diameter of liner (inches) inch CASING_NOTE  Note on casings STATIC_WATER_LEVEL  Level of static water start (ft) foot STATIC_WATER_FROM  Level of static water end (ft) foot SW_DATE  Date of static water test PUMP_FT  Pumping level foot PUMP_HR  Pump time (hours) hour PUMP_GPM  Pump rate (gallons per minute) gallonPerMinute RECOV_RATE  Recovery rate (gallons per minute) gallonPerMinute TEST_METHOD  Method of testing DEV_METHOD  Development method DEV_DURATION  Duration of development nominalDay INTAKE_TYPE  Well intake opening type SCREEN_START  Screen start (ft) foot SCREEN_STOP  Screen stop (ft) foot SCREEN_TYPE  Screen type SCREEN_SIZE  Screen mesh size (inches) inch PERF1_START  Perforation start (ft) foot PERF1_STOP  Perforation stop (ft) foot PERF2_START  Perforation 2 start (ft) foot PERF2_STOP  Perforation 2 stop (ft) foot GRAVEL  Whether gravel pack is used GRAVEL_START  Start of gravel (ft) foot GRAVEL_STOP  Stop of gravel (ft) foot SCREEN_NOTE  Note on screen GROUT_VOL  Grout volume pound GROUT_FROM  Grout depth from (ft) foot GROUT_TO  Grout depth to (ft) foot PUMP_INTAKE_FT  Pump intake depth (ft) foot PUMP_HP  Pump size (horsepower) horsepower DISINFECT  Whether well was disinfected after drilling DISINF_METHOD  Method of disinfection DRILLERS_COMMENTS  Comments on drilling"
"doi:10.5063/F1M043PR","The number of mature salmon migrating from the marine environment to freshwater streams is defined as escapement. Escapement data are the enumeration of these migrating fish as they pass upstream, and are a widely used index of spawning salmon abundance. These data are important for fisheries management, since most salmon harvest occurs near the mouths of rivers where salmon spawn during this migration. Escapement data are collected in a variety of ways. Stationary projects utilize observers stationed along freshwater corridors who count salmon as they pass upriver through weirs or past elevated towers. These counts usually represent a sample, and are expanded to represent a 24h period. In general, escapement counts do not represent total abundance, but instead an index of abundance. Surveys are usually timed to coincide with peak spawning activity, generally in the summer, but in the case of Coho salmon in the fall as well. This dataset contains salmon escapement data from various systems in the Prince William Sound area in Alaska.","escapement","Daily escapement counts from Prince William Sound counting weirs and towers, Alaska, 1931-2011","State of Alaska's Salmon and People","Year  The year the salmon escapement data was taken SampleDate  The date the salmon escapement data was taken AdultCount  Number of adults counted for given date number Jacks? Y/N  Stating if Jacks were present in the observations AWC Stream.  Number to identify which AWC stream the data was taken on Observation_Type  Strategy/technique used to obtain our observation Final_Count  Total number of salmon counted number Species_Name  Name of species of salmon observed LocationName  Name of location where data was collected sampleDate  The date the salmon escapement data was taken DailyCount  Number of salmon counted per day number AWC_code  Number to identify which AWC stream the data was taken on Method  Strategy/technique used to obtain our observation Species  Name of species of salmon observed Location  Name of location where data was collected SASAP.Region  Surrounding region in which the data was collected Source  Origin of where the data was collected from"
"doi:10.5063/F1319T59","As salmon migrate from the marine environment to freshwater streams to spawn, a certain number are allowed to pass through, or '/escape/' the salmon fishery (frequently located near the mouth of the freshwater stream) as a management strategy to preserve the species. Escapement data are the enumeration of these migrating fish as they pass upstream, and represent an index of the total abundance of spawning salmon in that particular stream. These data are important for fisheries management, since most salmon harvest occurs in freshwater rivers during this migration. Escapement data are collected in a variety of ways. Stationary projects utilize observers stationed along freshwater corridors who count salmon as they pass upriver through weirs or past elevated towers. Sonar equipment placed in the river can also give a stationary escapement count. These counts usually represent a sample, and are expanded to represent a 24h period. Escapement data can also be collected using aerial surveys, where observers in an aircraft provide an index to estimate escapement. In general, escapement counts do not represent total abundance, but instead an index of abundance. Surveys are usually timed to coincide with peak spawning activity, generally in the summer, but in the case of Coho salmon in the fall as well. Some data about non-salmon species are also included. This dataset contains salmon escapement data from the Central Region (Region II) which includes Bristol Bay, Prince William Sound, and Cook Inlet.","escapement biophysical","Daily salmon escapement counts, Central Region, Alaska","State of Alaska's Salmon and People","Species  Species of fish being counted Count Date  Date of escapement counts District  Commercial fishing district of river system Observation Site  River/system name where escapement data were taken AWC Water Body Code  Anadromous waters catalog number of river system CF Stream Code  Alternate stream identifier Observation Method  Method of count Daily Cumulative  Daily escapement count number sampleDate  Date of escapement counts Location  River/system name where escapement data were taken AWC_code  Anadromous waters catalog number of river system Method  Method of count DailyCount  Daily escapement count number SASAP.Region  Region where data were taken Source  Source of original data"
"doi:10.5063/F1Z899P0","Abundance estimates of wild and hatchery Pacific salmon Oncorhynchus spp. are important for evaluation of stock status and density-dependent interactions at sea. This data package includes total abundances of pink, chum, and sockeye salmon, reconstructed from catch and spawning abundance data for both Asia and North America. These data are in two main categories of salmon abundance estimates: (1) return (catch plus escapement) estimates of natural-origin and enhanced-origin salmon (numerical and biomass) by species and region, and (2) Total biomass estimates of mature and younger salmon by species and region (natural-origin and hatchery-origin combined). Most of the tables cover the period from 1952-2015. Longterm tables begin at 1925. The .csv files are plain text versions of the tables found in the original excel file. The excel file also contains additional information on how the datasets can be used.  These data are described further in: Ruggerone, G.T., Peterman, R.M., Dorner, B., Myers, K.W. (2010). Magnitude and trends in abundance of hatchery and wild pink salmon, chum salmon, and sockeye salmon in the North Pacific Ocean. Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 2:306–328 (available at http://www.bioone.org/doi/full/10.1577/C09-054.1). They are also included as Supporting Information in Ruggerone, G.T. &amp;amp; Irvine, J.R. (2018). Numbers and Biomass of Natural- and Hatchery-Origin Pink Salmon, Chum Salmon, and Sockeye Salmon in the North Pacific Ocean, 1925–2015. Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 10:152–168 (available at https://onlinelibrary.wiley.com/doi/full/10.1002/mcf2.10023). The dataset here is the same version as in the SI of Ruggerone &amp;amp; Irvine 2018, in the form of extracted .csv's.","ocean distribution featured ocean climate","North Pacific salmon abundance, 1925-2015","State of Alaska's Salmon and People","Year  Year that abundance data are from Korea  number of fish in South Korea number Japan  number of fish in Japan number M&I  number of fish in Russia: Mainland & Islands number WKam  number of fish in Western Kamchatka number EKam  number of fish in Eastern Kamchatka number WAK  number of fish in Western Alaska number SPen  number of fish in Southern Alaska Peninsula number Kod  number of fish in Kodiak number CI  number of fish in Cook Inlet number PWS  number of fish in Prince William Sound number SEAK  number of fish in Southeast Alaska number NBC  number of fish in Northern British Columbia number SBC  number of fish in Southern British Columbia number WA  number of fish in Washington number Total  total number of fish number WC  number of fish in West Coast (Washington plus Columbia River basin) number Pink  number of pink salmon (millions of fish) number Chum  number of chum salmon (millions of fish) number Sockeye  number of sockeye salmon (millions of fish) number Total  number of total salmon (millions of fish) number Pink  biomass of pink salmon thousandsOfTonnes Chum  biomass of chum salmon thousandsOfTonnes Sockeye  biomass of sockeye salmon thousandsOfTonnes Total  biomass of total salmon, all three species thousandsOfTonnes Year  Year that data are from Pink  average adult weight of pink salmon kilogram Chum  average adult weight of chum salmon kilogram Sockeye  average adult weight of sockeye salmon kilogram Total  number of total salmon, all three species (millions of fish) number Korea  biomass of fish in South Korea tonne Japan  biomass of fish in Japan tonne M&I  biomass of fish in Russia: Mainland & Islands tonne WKam  biomass of fish in Western Kamchatka tonne EKam  biomass of fish in Eastern Kamchatka tonne WAK  biomass of fish in Western Alaska tonne SPen  biomass of fish in Southern Alaska Peninsula tonne Kod  biomass of fish in Kodiak tonne CI  biomass of fish in Cook Inlet tonne PWS  biomass of fish in Prince William Sound tonne SEAK  biomass of fish in Southeast Alaska tonne NBC  biomass of fish in Northern British Columbia tonne SBC  biomass of fish in Southern British Columbia tonne WA  biomass of fish in Washington tonne TOTAL  total biomass of fish tonne Total all 3 species  biomass of total salmon, all three species thousandsOfTonnes WC  biomass of fish in West Coast (Washington plus Columbia River basin) tonne"
