"identifier","entityName","attributeName","attributeLabel","attributeDefinition","attributeUnit","propertyURI","valueURI","viewURL","query_datetime_utc"
"doi:10.5063/F1416VB4","MandV2010.csv","Area",NA,"ADFG management area",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","Species",NA,"Salmon species",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","Region",NA,"ADFG management region",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","System",NA,"River system of escapement goals",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","Lower",NA,"Lower bound escapement goal","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","Upper",NA,"Upper bound escapement goal","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","Type",NA,"Escapement goal type",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","Year.Implemented",NA,"Year escapement goal implemented",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2001",NA,"Annual escapement 2001","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2002",NA,"Annual escapement 2002","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2003",NA,"Annual escapement 2003","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2004",NA,"Annual escapement 2004","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2005",NA,"Annual escapement 2005","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2006",NA,"Annual escapement 2006","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2007",NA,"Annual escapement 2007","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2008",NA,"Annual escapement 2008","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1416VB4","MandV2010.csv","X2009",NA,"Annual escapement 2009","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1416VB4",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","region_id","Region ID","Regional ID number","dimensionless",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","region","Region of Alaska","Region of Alaska",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","n_mines","Number of mining footprints","Number of mining footprints intersecting the region","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","avg_m_area","Average area of mining footprints","Average area of mining footprints intersecting region","squareKilometers",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","area_mines","Area of mining footprints","Total area of mining footprints within region","squareKilometers",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","density_mines","Density of mining footprints","(total area of mining footprints)/(area of region)","dimensionless",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","id_numeric","Watershed ID","Watershed ID number","dimensionless",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","name","Name of watershed","Name of Alaska watershed",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","id_origina","Original numeric ID in source data","Original numeric ID from International Joint Commission (HUC8) or National Hydro Network (sub-sub-drainage)",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","source","Data source","Source of watersheds data",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","n_mines","Number of mining footprints","Number of mining footprints intersecting the watershed","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","avg_m_area","Average area of mining footprints","Average area of mining footprints intersecting watershed","squareKilometers",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","area_mines","Area of mining footprints","Total area of mining footprints within watershed","squareKilometers",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F1445JSW","Mines in Alaska Watersheds","density_mines","Density of mining footprints","(total area of mining footprints)/(area of watershed)","dimensionless",NA,NA,"https://search.dataone.org/view/doi:10.5063/F1445JSW",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","ID1",NA,"Auto number record ID",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","SURVEY_ID",NA,"Unique name and relationship between 1_Escapement_Header and 2_Escapement_Data tables.  Format is ""YYYY_XXXX_S#"" where Y is the year, X is the abbreviated Stock name, S is the first letter of the survey type, # is the survey number",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","SURVEY_NUMBER",NA,"Begins each year at 1, and increments by 1 each time a survey occurs that year.  Survey number is stratified by stock and survey type.  If multiple survey types are applied to the same Stock each method will increment from 1.","number",NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","YEAR",NA,"Year in which the survey/escapement project was",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","DATE",NA,"Date the survey/escapement project was conducted.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","TIME",NA,"The time the survey was conducted, if available.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","SURVEY_TYPE",NA,"Method used to collect the escapement data (e.g., foot survey, aerial survey, weir, video)",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","OBSERVER",NA,"Name of the primary surveyor (aerial), or surveyors",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","PILOT",NA,"Name of the survey pilot.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","SURVEY_RATING",NA,"A numerical rating of the survey conditions, from 1-5, where 1 = excellent and 5 = unsatisfactory",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","SURVEY_CONDITIONS",NA,"Surveyors comments on the conditions experienced at the time of the survey.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","COUNTABLE_VIDEO",NA,"Applies to remote video projects; documents the accumulative hours:minutes:seconds of video that were of sufficient quality to facilitate counting individual fish.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","1_ESCAPEMENT_HEADER.txt","REMARKS",NA,"Comments made by the surveyor.",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","ID",NA,"Auto number record ID",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","SURVEY_ID",NA,"Unique name and relationship between 1_Escapement_Header and 2_Escapement_Data tables.  Format is ""YYYY_XXXX_S#"" where Y is the year, X is the abbreviated Stock name, S is the first letter of the survey type, # is the survey number",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
"doi:10.5063/F14B2ZMJ","2_ESCAPEMENT_DATA.txt","STREAM_SECTION",NA,"Specific identifier of where in the stream the fish counts were made (e.g., bay, lagoon, intertidal, stream, lake).",NA,NA,NA,"https://search.dataone.org/view/doi:10.5063/F14B2ZMJ",2020-10-08 14:24:41
