id,project,site
doi:10.5063/F13B5XD8,State of Alaska's Salmon and People,"c(""Alaska Peninsula and Aleutian Islands, Alaska"", ""Arctic, Alaska"", ""Bristol Bay, Alaska"", ""Chignik, Alaska"", ""Copper River, Alaska"", ""Kodiak, Alaska"", ""Kotzebue, Alaska"", ""Kuskokwim, Alaska"", ""Cook Inlet, Alaska"", ""Norton Sound, Alaska"", ""Prince William Sound, Alaska"", ""Southeast, Alaska"", ""Yukon, Alaska"")"
doi:10.5063/F19W0CRM,State of Alaska's Salmon and People,"c(""Akalura River, Alaska"", ""Dog Salmon River, Alaska"", ""Ayakulik River, Alaska"", ""Karluk River, Alaska"", ""Scottie Creek, Alaska"", ""Desper Creek, Alaska"", ""Gardiner Creek, Alaska"", ""Kanuti Kilolitna River, Alaska"", ""Kanuti River tributary, Alaska"", ""Kanuti River, Alaska"", ""South Fork Koyukuk River, Alaska"", ""Egegik River, Alaska"", ""Holonada Creek, Alaska"", ""Koyukuk River, Alaska"", ""AWC 283-34-10430-0010, Alaska"", ""AWC 283-34-10400, Alaska"", ""AWC 283-12-11300-2014, Alaska"", ""AWC 283-12-11290, Alaska"", 
""AWC 312-40-10100-2021-3003, Alaska"", ""AWC 312-40-10100, Alaska"", ""AWC 283-12-10100-0010, Alaska"", ""AWC 283-12-10100, Alaska"", ""AWC 283-12-11010, Alaska"", ""Unnamed stream above Moffet Lagoon, Alaska"", ""AWC 312-40-10300-2012, Alaska"", ""AWC 312-40-10300-2006-3006, Alaska"", ""AWC 312-40-10200, Alaska"", ""AWC 312-20-10100, Alaska"", ""AWC 312-20-10200, Alaska"", ""AWC 312-20-10300, Alaska"", ""AWC 312-20-11300, Alaska"", ""AWC 312-40-10100-2006-3020, Alaska"", ""Unnamed stream in Right Hand Valley, Alaska"", ""AWC 312-40-10100-2006-3036, Alaska"", 
""AWC 312-40-10100-2006, Alaska"", ""AWC 312-40-10100-2006-0010, Alaska"", ""Willow Lake, Alaska"", ""Dakli/Wheeler Creek, Alaska"", ""Billy Hawk Creek (East Fork), Alaska"", ""Billy Hawk Creek (West Fork), Alaska"", ""AWC 283-34-10700 KL1, Alaska"", ""AWC 283-34-10430 KL2, Alaska"", ""Meadow Creek, Alaska"", ""O'Malley River, Alaska"", ""Red Lake, Alaska"", ""Karluk Lake, Alaska"", ""Akalura Lake, Alaska"", ""Canyon Creek, Alaska"", ""Connecticut Creek, Alaska"", ""Horse Marine Lake, Alaska"", ""Pinnell Creek, Alaska"", ""Red Lake River, Alaska"", 
""Cascade Creek, Alaska"", ""East Fork Thumb River, Alaska"", ""Falls Creek, Alaska"", ""Southeast Creek, Alaska"")"
doi:10.5063/F1ST7N45,State of Alaska's Salmon and People,"c(""Site Too-002, Toolik Lake Area, Alaska"", ""Site Too-003, Toolik Lake Area, Alaska"", ""Site Too-005, Toolik Lake Area, Alaska"", ""Site Too-006, Toolik Lake Area, Alaska"", ""Site Too-004, Toolik Lake Area, Alaska"", ""Site Too-001, Toolik Lake Area, Alaska"", ""Site Umi-002, Nakaktuk Lakes Area, Alaska"", ""Site Umi-006, Nakaktuk Lakes Area, Alaska"", ""Site Umi-001, Nakaktuk Lakes Area, Alaska"", ""Site Umi-005, Nakaktuk Lakes Area, Alaska"", ""Site Umi-003, Nakaktuk Lakes Area, Alaska"", ""Site Umi-004, Nakaktuk Lakes Area, Alaska"", 
""Site Ini-003, Fish Creek Area, Alaska"", ""Site Ini-001, Fish Creek Area, Alaska"", ""Site Ini-002, Fish Creek Area, Alaska"", ""Site Ini-004, Fish Creek Area, Alaska"", ""Site Ini-005, Fish Creek Area, Alaska"", ""Site R0066, Fish Creek Area, Alaska"", ""Site L9811, Fish Creek Area, Alaska"", ""Site Ini-006, Fish Creek Area, Alaska"", ""Site M9925, Fish Creek Area, Alaska"", ""Site L9820, Fish Creek Area, Alaska"", ""Site L9819, Fish Creek Area, Alaska"", ""Site MC7916, Fish Creek Area, Alaska"", ""Site Tes-004, Teshekpuk Lake Area, Alaska"", 
""Site Tes-006, Teshekpuk Lake Area, Alaska"", ""Site Tes-005, Teshekpuk Lake Area, Alaska"", ""Site Tes-001, Teshekpuk Lake Area, Alaska"", ""Site Tes-002, Teshekpuk Lake Area, Alaska"", ""Site Ikp-001, Ikpikpak River Area, Alaska"", ""Site Ikp-003, Ikpikpak River Area, Alaska"", ""Site Ikp-002, Ikpikpak River Area, Alaska"", ""Site Tes-003, Teshekpuk Lake Area, Alaska"")"
doi:10.5063/F1CN726K,State of Alaska's Salmon and People,"c(""SALMON R NR HYDER AK"", ""TYEE LK OUTLET NR WRANGELL AK"", ""STIKINE R NR WRANGELL AK"", ""TAKU R NR JUNEAU AK"", ""MENDENHALL R NR AUKE BAY AK"", ""ANTLER R BL ANTLER LK NR AUKE BAY AK"", ""TAIYA R NR SKAGWAY AK"", ""CHILKAT R NR KLUKWAN AK"", ""SALMON R AT GUSTAVUS AK"", ""GOVERNMENT C NR KETCHIKAN AK"", ""FISH C NR KETCHIKAN AK"", ""STANEY C NR KLAWOCK AK"", ""OLD TOM C NR KASAAN AK"", ""INDIAN R AT SITKA AK"", ""SAWMILL C NR SITKA AK"", ""ALSEK R AT DRY BAY NR YAKUTAT AK"", ""SITUK R NR YAKUTAT AK"", ""WF KENNICOTT R AT MCCARTHY AK"", 
""COPPER R AT MILLION DOLLAR BRIDGE NR CORDOVA AK"", ""SOLOMON GULCH AT TOP OF FALLS NR VALDEZ AK"", ""LOWE R AB HORSETAIL FALLS NR VALDEZ AK"", ""GROUSE C AT GROUSE LK OUTLET NR SEWARD AK"", ""UPPER NUKA R NR PARK BOUNDARY NR HOMER AK"", ""UPPER BRADLEY R NR NUKA GLACIER NR HOMER AK"", ""MF BRADLEY R NR HOMER AK"", ""MF BRADLEY R BL NF BRADLEY R NR HOMER AK"", ""BRADLEY R NR TIDEWATER NR HOMER AK"", ""ANCHOR R NR ANCHOR POINT AK"", ""SNOW R NR SEWARD AK"", ""KENAI R AT COOPER LANDING AK"", ""COOPER C AT MOUTH NR COOPER LANDING AK"", 
""KENAI R BL SKILAK LK OUTLET NR STERLING AK"", ""KENAI R AT SOLDOTNA AK"", ""SIXMILE C NR HOPE AK"", ""CAMPBELL C NR SPENARD AK"", ""CHESTER C AT ARCTIC BOULEVARD AT ANCHORAGE AK"", ""SHIP C NR ANCHORAGE AK"", ""MOOSE C NR PALMER AK"", ""MATANUSKA R AT PALMER AK"", ""L SUSITNA R NR PALMER AK"", ""SUSITNA R AT GOLD CREEK AK"", ""TALKEETNA R NR TALKEETNA AK"", ""MONTANA C NR MONTANA AK"", ""KASHWITNA R NR WILLOW AK"", ""L WILLOW C NR KASHWITNA AK"", ""WILLOW C NR WILLOW AK"", ""TERROR R AT MOUTH NR KODIAK AK"", ""RUSSELL C NR COLD BAY AK"", 
""CHULITNA R 5MI AB MOUTH NR PORT ALSWORTH AK"", ""ILIAMNA R NR PEDRO BAY AK"", ""NUYAKUK R NR DILLINGHAM AK"", ""KUSKOKWIM R AT LISKYS CROSSING NR STONY RIVER AK"", ""KUSKOKWIM R AT CROOKED CREEK AK"", ""MOSQUITO FORK 2 MI BL KECHUMSTUK C NR CHICKEN AK"", ""FORTYMILE R NR STEELE CREEK AK"", ""YUKON R AT EAGLE AK"", ""YUKON R NR STEVENS VILLAGE AK"", ""GOLDSTREAM C BL ALABAM C NR LIVENGOOD AK"", ""GOODPASTER R NR BIG DELTA AK"", ""PHELAN C NR PAXSON AK"", ""SALCHA R NR SALCHAKET AK"", ""TANANA R AT FAIRBANKS AK"", ""CHENA R NR TWO RIVERS AK"", 
""L CHENA R NR FAIRBANKS AK"", ""CHENA R AT FAIRBANKS AK"", ""MARGUERITE C 3.6 MI AB EMMA C NR HEALY AK"", ""MARGUERITE C AB EMMA C NR HEALY AK"", ""TANANA R AT NENANA AK"", ""TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK"", ""SLATE C AT COLDFOOT AK"", ""NIUKLUK R AB MELSING C AT COUNCIL AK"", ""KOBUK R NR KIANA AK"", ""WULIK R BL TUTAK C NR KIVALINA AK"", ""MEADE R AT ATKASUK AK"", ""IKPIKPUK R BL FRY C NR ALAKTAK AK"", ""FISH C NR NUIQSUT AK"", ""UBLUTUOCH R 13.7 MI AB MOUTH NR NUIQSUT AK"", ""COLVILLE R AT UMIAT AK"", ""SAGAVANIRKTOK R NR PUMP STA 3 AK"", 
""HULAHULA R NR KAKTOVIK AK"")"
doi:10.5063/F16971VP,State of Alaska's Salmon and People,Alaska
doi:10.5063/F1JD4V29,State of Alaska's Salmon and People,"c(""Site NAKNL_03_TEMP, Naknek Lake, Alaska"", ""Site LBROO_01_TEMP, Lake Brooks, Alaska"", ""Site NAKNL_02_TEMP, Naknek Lake, Alaska"", ""Site NAKNL_01_TEMP, Naknek Lake, Alaska"", ""Site LCLAR_01_TEMP, Lake Clark, Alaska"", ""Site KIJIL_01_TEMP, Kijik Lake, Alaska"", ""Site KATM_naknlo_continuous_wq, Naknek Lake Outlet / Naknek River, Alaska"", ""Site LACL_lclaro_continuous_wq, Lake Clark Outlet, Alaska"", ""Site LACL_chull_beach_water, Lake Clark, Alaska"", ""Site LACL_kijil_beach_water, Kijik Lake, Alaska"", ""Site LACL_porta_beach_water, Lake Clark, Alaska"", 
""Site KATM_idavc_stream_water, Idavain Creek, Alaska"", ""Site KATM_margc_stream_water, Margot Creek, Alaska"", ""Site KATM_upatc_stream_water, Up-A-Tree Creek, Alaska"", ""Site LACL_lkijr_stream_water, Little Kijik River, Alaska"", ""Site LACL_tazir_stream_water, Tazimina River, Alaska"", ""Site LACL_tlikr_stream_water, Tlikakila River, Alaska"")"
doi:10.5063/F1542KVC,State of Alaska's Salmon and People,"North Pacific Ocean, Gulf of Alaska, and Bering Sea"
doi:10.5063/F18W3BKS,State of Alaska's Salmon and People,"c(""Site Big Creek, Big Creek, Alaska"", ""Site CIK_0, Bodenburg Creek, Alaska"", ""Site CIK_1, Ship Creek, Alaska"", ""Site CIK_10, Beaver Creek, Alaska"", ""Site CIK_11, Soldotna Creek, Alaska"", ""Site CIK_12, Slikok Creek, Alaska"", ""Site CIK_13, Bishop Creek, Alaska"", ""Site CIK_14, Anchor River, Alaska"", ""Site CIK_15, Deep Creek, Alaska"", ""Site CIK_16, Resurrection Creek, Alaska"", ""Site CIK_17, Hidden Creek, Alaska"", ""Site CIK_18, English Bay River, Alaska"", ""Site CIK_19, Seldovia River, Alaska"", ""Site CIK_2, Rabbit Creek, Alaska"", 
""Site CIK_20, Nikolai Creek, Alaska"", ""Site CIK_21, Shantatalik Creek, Alaska"", ""Site CIK_22, Quartz Creek, Alaska"", ""Site CIK_23, Funny River, Alaska"", ""Site CIK_24, Fox Creek, Alaska"", ""Site CIK_25, Moose Creek, Alaska"", ""Site CIK_26, Chijuk Creek, Alaska"", ""Site CIK_27, Meadow Creek, Alaska"", ""Site CIK_28, Kroto (Deshka) Creek, Alaska"", ""Site CIK_29, Trapper Creek, Alaska"", ""Site CIK_3, Chester Creek, Alaska"", ""Site CIK_30, Little Willow Creek, Alaska"", ""Site CIK_31, Cottonwood Creek, Alaska"", 
""Site CIK_32, Jim Creek, Alaska"", ""Site CIK_33, Montana Creek, Alaska"", ""Site CIK_34, Willow Creek, Alaska"", ""Site CIK_35, Wasilla Creek, Alaska"", ""Site CIK_36, Deception Creek, Alaska"", ""Site CIK_37, Moose Creek, Mat R., Alaska"", ""Site CIK_38, Fish Creek, Alaska"", ""Site CIK_39, Troublesome Creek, Alaska"", ""Site CIK_4, North Fork Campbell Creek, Alaska"", ""Site CIK_40, Byers Creek, Alaska"", ""Site CIK_41, East Fork Chulitna, Alaska"", ""Site CIK_42, Alexander Creek, Alaska"", ""Site CIK_43, Cache Creek, Alaska"", 
""Site CIK_44, Theodore Creek, Alaska"", ""Site CIK_45, Chuitna River, Alaska"", ""Site CIK_46, Silver Salmon Creek, Alaska"", ""Site CIK_47, Chenik Creek, Alaska"", ""Site CIK_48, McNeil River, Alaska"", ""Site CIK_5, Moose River, Alaska"", ""Site CIK_6, Ninilchik River, Alaska"", ""Site CIK_7, Swanson River, Alaska"", ""Site CIK_8, Stariski Creek, Alaska"", ""Site CIK_9, Crooked Creek, Alaska"", ""Site Copper River, Copper River, Alaska"", ""Site Gibraltar Creek, Gibraltar Creek, Alaska"", ""Site Lost Dog Creek, Lost Dog Creek, Alaska"", 
""Site McGeary Creek, McGeary Creek, Alaska"", ""Site Napotoli Creek, Napotoli Creek, Alaska"", ""Site Neilson Creek, Neilson Creek, Alaska"", ""Site Panaruqak Creek, Panaruqak Creek, Alaska"", ""Site Silver Salmon Creek, Silver Salmon Creek, Alaska"", ""Site Sivanguq Creek, Sivanguq Creek, Alaska"", ""Site Squaw Creek, Squaw Creek, Alaska"", ""Site Tunravik Creek, Tunravik Creek, Alaska"", ""Site Yellow Creek, Yellow Creek, Alaska"", ""Site Big Creek_Naknek, Big Creek, Alaska"")"
doi:10.5063/F1445JSW,State of Alaska's Salmon and People,"c(""Alaska Peninsula and Aleutian Islands, Alaska"", ""Arctic, Alaska"", ""Bristol Bay, Alaska"", ""Chignik, Alaska"", ""Copper River, Alaska"", ""Kodiak, Alaska"", ""Kotzebue, Alaska"", ""Kuskokwim, Alaska"", ""Cook Inlet, Alaska"", ""Norton Sound, Alaska"", ""Prince William Sound, Alaska"", ""Southeast, Alaska"", ""Yukon, Alaska"")"
doi:10.5063/F1DN43BZ,State of Alaska's Salmon and People,"c(""Site mussm15, , Alaska"", ""Site mutsk09, , Alaska"", ""Site mutsk02, , Alaska"", ""Site muekm23, , Alaska"", ""Site iltnr19, , Alaska"", ""Site AKBB-020, Little Mulchatna River, Alaska"", ""Site AKBB-028, Unnamed Tributary Koksetna River , Alaska"", ""Site AKBB-029, Kaskanak Creek, Alaska"", ""Site AKBB-040, Chilchitna River, Alaska"", ""Site Bonanza Creek, Bonanza Creek, Alaska"", ""Site South Fork Koktuli River, South Fork Koktuli River, Alaska"", ""Site Stuyahok River, Stuyahok River, Alaska"", ""Site Tazimina River, Tazimina River, Alaska"", 
""Site Victoria Creek, Victoria Creek, Alaska"")"
