sites_lower,n
"copper river, alaska",34
"alaska peninsula and aleutian islands, alaska",33
"cook inlet, alaska",33
"kodiak, alaska",33
"kuskokwim, alaska",33
"norton sound, alaska",33
"yukon, alaska",33
"bristol bay, alaska",32
"chignik, alaska",32
"kotzebue, alaska",32
"prince william sound, alaska",32
"southeast, alaska",32
"arctic, alaska",30
"anchorage, cook inlet, alaska",13
"cordova, prince william sound, alaska",13
"dillingham, bristol bay, alaska",13
"kenai, cook inlet, alaska",13
"ketchikan, southeast, alaska",13
"alakanuk, yukon, alaska",12
"bethel, kuskokwim, alaska",12
"fairbanks, yukon, alaska",12
"galena, yukon, alaska",12
"homer, cook inlet, alaska",12
"juneau, southeast, alaska",12
"naknek, bristol bay, alaska",12
"ninilchik, cook inlet, alaska",12
"petersburg, southeast, alaska",12
"seward, cook inlet, alaska",12
"sitka, southeast, alaska",12
"soldotna, cook inlet, alaska",12
"talkeetna, cook inlet, alaska",12
"valdez, prince william sound, alaska",12
"wrangell, southeast, alaska",12
"anchor point, cook inlet, alaska",11
"anderson, yukon, alaska",11
"anvik, yukon, alaska",11
"big lake, cook inlet, alaska",11
"cantwell, yukon, alaska",11
"central, yukon, alaska",11
"chickaloon, cook inlet, alaska",11
"chitina, copper river, alaska",11
"cooper landing, cook inlet, alaska",11
"copper center, copper river, alaska",11
"crooked creek, kuskokwim, alaska",11
"dot lake, yukon, alaska",11
"eagle, yukon, alaska",11
"elfin cove, southeast, alaska",11
"fort yukon, yukon, alaska",11
"gakona, copper river, alaska",11
"glennallen, copper river, alaska",11
"haines, southeast, alaska",11
"healy, yukon, alaska",11
"hooper bay, yukon, alaska",11
"hope, cook inlet, alaska",11
"huslia, yukon, alaska",11
"karluk, kodiak, alaska",11
"kenny lake, copper river, alaska",11
"king salmon, bristol bay, alaska",11
"kodiak, kodiak, alaska",11
"kotzebue, kotzebue, alaska",11
"manley hot springs, yukon, alaska",11
"moose pass, cook inlet, alaska",11
"nenana, yukon, alaska",11
"nome, norton sound, alaska",11
"northway, yukon, alaska",11
"nushagak river, bristol bay, alaska",11
"palmer, cook inlet, alaska",11
"pilot station, yukon, alaska",11
"point lay, arctic, alaska",11
"port lions, kodiak, alaska",11
"quinhagak, kuskokwim, alaska",11
"red devil, kuskokwim, alaska",11
"sand point, alaska peninsula and aleutian islands, alaska",11
"seldovia, cook inlet, alaska",11
"shishmaref, kotzebue, alaska",11
"skagway, southeast, alaska",11
"slana, copper river, alaska",11
"stebbins, norton sound, alaska",11
"stevens village, yukon, alaska",11
"tok, yukon, alaska",11
"trapper creek, cook inlet, alaska",11
"wasilla, cook inlet, alaska",11
"whale pass, southeast, alaska",11
"whittier, prince william sound, alaska",11
"yakutat, southeast, alaska",11
"adak, alaska peninsula and aleutian islands, alaska",10
"akhiok, kodiak, alaska",10
"akiachak, kuskokwim, alaska",10
"akiak, kuskokwim, alaska",10
"akutan, alaska peninsula and aleutian islands, alaska",10
"aleknagik, bristol bay, alaska",10
"ambler, kotzebue, alaska",10
"angoon, southeast, alaska",10
"aniak, kuskokwim, alaska",10
"atka, alaska peninsula and aleutian islands, alaska",10
"atqasuk, arctic, alaska",10
"bettles, yukon, alaska",10
"buckland, kotzebue, alaska",10
"chenega, prince william sound, alaska",10
"chignik lagoon, chignik, alaska",10
"chignik lake, chignik, alaska",10
"chiniak, kodiak, alaska",10
"chuathbaluk, kuskokwim, alaska",10
"coffman cove, southeast, alaska",10
"coldfoot, yukon, alaska",10
"craig, southeast, alaska",10
"deering, kotzebue, alaska",10
"delta junction, yukon, alaska",10
"edna bay, southeast, alaska",10
"eek, kuskokwim, alaska",10
"egegik, bristol bay, alaska",10
"ekwok, bristol bay, alaska",10
"elim, norton sound, alaska",10
"emmonak, yukon, alaska",10
"ester, yukon, alaska",10
"false pass, alaska peninsula and aleutian islands, alaska",10
"golovin, norton sound, alaska",10
"goodnews bay, kuskokwim, alaska",10
"grayling, yukon, alaska",10
"gustavus, southeast, alaska",10
"hollis, southeast, alaska",10
"holy cross, yukon, alaska",10
"hoonah, southeast, alaska",10
"houston, cook inlet, alaska",10
"hughes, yukon, alaska",10
"hydaburg, southeast, alaska",10
"hyder, southeast, alaska",10
"igiugig, bristol bay, alaska",10
"igushik river, bristol bay, alaska",10
"iliamna, bristol bay, alaska",10
"kake, southeast, alaska",10
"kaltag, yukon, alaska",10
"kasaan, southeast, alaska",10
"kasigluk, kuskokwim, alaska",10
"kasilof, cook inlet, alaska",10
"kiana, kotzebue, alaska",10
"king cove, alaska peninsula and aleutian islands, alaska",10
"kipnuk, kuskokwim, alaska",10
"kivalina, kotzebue, alaska",10
"klawock, southeast, alaska",10
"klukwan, southeast, alaska",10
"kobuk, kotzebue, alaska",10
"kokhanok, bristol bay, alaska",10
"koliganek, bristol bay, alaska",10
"kotlik, yukon, alaska",10
"koyuk, norton sound, alaska",10
"koyukuk, yukon, alaska",10
"kwethluk, kuskokwim, alaska",10
"lake minchumina, yukon, alaska",10
"larsen bay, kodiak, alaska",10
"levelock, bristol bay, alaska",10
"lower kalskag, kuskokwim, alaska",10
"manokotak, bristol bay, alaska",10
"marshall, yukon, alaska",10
"mekoryuk, kuskokwim, alaska",10
"metlakatla, southeast, alaska",10
"minto, yukon, alaska",10
"mountain village, yukon, alaska",10
"nanwalek, cook inlet, alaska",10
"napakiak, kuskokwim, alaska",10
"napaskiak, kuskokwim, alaska",10
"naukati bay, southeast, alaska",10
"nelson lagoon, alaska peninsula and aleutian islands, alaska",10
"new stuyahok, bristol bay, alaska",10
"newhalen, bristol bay, alaska",10
"newtok, kuskokwim, alaska",10
"nightmute, kuskokwim, alaska",10
"nikiski, cook inlet, alaska",10
"nikolaevsk, cook inlet, alaska",10
"noatak, kotzebue, alaska",10
"nondalton, bristol bay, alaska",10
"noorvik, kotzebue, alaska",10
"north pole, yukon, alaska",10
"nuiqsut, arctic, alaska",10
"nulato, yukon, alaska",10
"nunapitchuk, kuskokwim, alaska",10
"old harbor, kodiak, alaska",10
"oscarville, kuskokwim, alaska",10
"ouzinkie, kodiak, alaska",10
"paxson, yukon, alaska",10
"pedro bay, bristol bay, alaska",10
"pelican, southeast, alaska",10
"perryville, chignik, alaska",10
"pilot point, bristol bay, alaska",10
"pitkas point, yukon, alaska",10
"platinum, kuskokwim, alaska",10
"point baker, southeast, alaska",10
"point hope, kotzebue, alaska",10
"port alexander, southeast, alaska",10
"port alsworth, bristol bay, alaska",10
"port graham, cook inlet, alaska",10
"port heiden, alaska peninsula and aleutian islands, alaska",10
"port protection, southeast, alaska",10
"rampart, yukon, alaska",10
"russian mission, yukon, alaska",10
"saxman, southeast, alaska",10
"scammon bay, yukon, alaska",10
"selawik, kotzebue, alaska",10
"shageluk, yukon, alaska",10
"shaktoolik, norton sound, alaska",10
"shungnak, kotzebue, alaska",10
"skwentna, cook inlet, alaska",10
"sleetmute, kuskokwim, alaska",10
"south naknek, bristol bay, alaska",10
"sterling, cook inlet, alaska",10
"stony river, kuskokwim, alaska",10
"takotna, kuskokwim, alaska",10
"tanacross, yukon, alaska",10
"tanana, yukon, alaska",10
"tatitlek, prince william sound, alaska",10
"teller, norton sound, alaska",10
"thorne bay, southeast, alaska",10
"togiak river, bristol bay, alaska",10
"togiak, bristol bay, alaska",10
"toksook bay, kuskokwim, alaska",10
"tuluksak, kuskokwim, alaska",10
"tuntutuliak, kuskokwim, alaska",10
"tununak, kuskokwim, alaska",10
"twin hills, bristol bay, alaska",10
"two rivers, yukon, alaska",10
"tyonek, cook inlet, alaska",10
"ugashik, bristol bay, alaska",10
"unalakleet, norton sound, alaska",10
"unalaska, alaska peninsula and aleutian islands, alaska",10
"venetie, yukon, alaska",10
"wainwright, arctic, alaska",10
"white mountain, norton sound, alaska",10
"willow, cook inlet, alaska",10
"wiseman, yukon, alaska",10
"wood river, bristol bay, alaska",10
"anaktuvuk pass, arctic, alaska",9
"atmautluak, kuskokwim, alaska",9
"ayakulik river, kodiak, alaska",9
"barrow, arctic, alaska",9
"birch creek, yukon, alaska",9
"brevig mission, norton sound, alaska",9
"chase, cook inlet, alaska",9
"chefornak, kuskokwim, alaska",9
"chevak, yukon, alaska",9
"chicken, yukon, alaska",9
"chignik, chignik, alaska",9
"chistochina, copper river, alaska",9
"clam gulch, cook inlet, alaska",9
"cold bay, alaska peninsula and aleutian islands, alaska",9
"college, yukon, alaska",9
"dry creek, yukon, alaska",9
"fox, yukon, alaska",9
"fritz creek, cook inlet, alaska",9
"gambell, norton sound, alaska",9
"girdwood, cook inlet, alaska",9
"gulkana, copper river, alaska",9
"halibut cove, cook inlet, alaska",9
"ivanof bay, chignik, alaska",9
"knik, cook inlet, alaska",9
"kongiganak, kuskokwim, alaska",9
"kwigillingok, kuskokwim, alaska",9
"lake louise, cook inlet, alaska",9
"mentasta lake, copper river, alaska",9
"meyers chuck, southeast, alaska",9
"nikolski, alaska peninsula and aleutian islands, alaska",9
"portage creek, bristol bay, alaska",9
"prudhoe bay, arctic, alaska",9
"ruby, yukon, alaska",9
"saint michael, norton sound, alaska",9
"savoonga, norton sound, alaska",9
"tazlina, copper river, alaska",9
"tetlin, yukon, alaska",9
alaska,8
"allakaket, yukon, alaska",8
"arctic village, yukon, alaska",8
"auke bay, southeast, alaska",8
"bear creek, cook inlet, alaska",8
"beaver, yukon, alaska",8
"beluga, cook inlet, alaska",8
"big delta, yukon, alaska",8
"buskin river, kodiak, alaska",8
"chalkyitsik, yukon, alaska",8
"chignik river, chignik, alaska",8
"chisana, yukon, alaska",8
"circle, yukon, alaska",8
"diomede, kotzebue, alaska",8
"eagle village, yukon, alaska",8
"egegik river, bristol bay, alaska",8
"excursion inlet, southeast, alaska",8
"ferry, yukon, alaska",8
"kaktovik, arctic, alaska",8
"karluk river, kodiak, alaska",8
"lime village, kuskokwim, alaska",8
"loring, southeast, alaska",8
"nikolai, kuskokwim, alaska",8
"nunam iqua, yukon, alaska",8
"tenakee springs, southeast, alaska",8
"wales, kotzebue, alaska",8
"alpine, arctic, alaska",7
"anvik river, yukon, alaska",7
"badger, yukon, alaska",7
"butte, cook inlet, alaska",7
"chena river, yukon, alaska",7
"clarks point, bristol bay, alaska",7
"cohoe, cook inlet, alaska",7
"copperville, copper river, alaska",7
"crown point, cook inlet, alaska",7
"evansville, yukon, alaska",7
"flat, yukon, alaska",7
"funny river, cook inlet, alaska",7
"gateway, cook inlet, alaska",7
"happy valley, cook inlet, alaska",7
"hobart bay, southeast, alaska",7
"livengood, yukon, alaska",7
"mccarthy, copper river, alaska",7
"meadow lakes, cook inlet, alaska",7
"mendeltna, copper river, alaska",7
"moose creek, yukon, alaska",7
"nabesna, yukon, alaska",7
"naknek river, bristol bay, alaska",7
"nelchina, copper river, alaska",7
"pleasant valley, yukon, alaska",7
"ridgeway, cook inlet, alaska",7
"saint george, alaska peninsula and aleutian islands, alaska",7
"saint paul, alaska peninsula and aleutian islands, alaska",7
"salcha river, yukon, alaska",7
"sunrise, cook inlet, alaska",7
"susitna, cook inlet, alaska",7
"sutton, cook inlet, alaska",7
"tolsona, copper river, alaska",7
"tonsina, copper river, alaska",7
"ugashik river, bristol bay, alaska",7
"willow creek, copper river, alaska",7
"alatna, yukon, alaska",6
"aniak river, kuskokwim, alaska",6
"auke creek, southeast, alaska",6
"chandalar river, yukon, alaska",6
"chilkat river, southeast, alaska",6
"cube cove, southeast, alaska",6
"frazer lake, kodiak, alaska",6
"george river, kuskokwim, alaska",6
"gisasa river, yukon, alaska",6
"healy lake, yukon, alaska",6
"kanektok river, kuskokwim, alaska",6
"kasilof river, cook inlet, alaska",6
"kenai river, cook inlet, alaska",6
"kogrukluk river, kuskokwim, alaska",6
"kvichak river, bristol bay, alaska",6
"kwethluk river, kuskokwim, alaska",6
"lignite, yukon, alaska",6
"little river, kodiak, alaska",6
"mcgrath, kuskokwim, alaska",6
"mosquito lake, southeast, alaska",6
"nelson river, alaska peninsula and aleutian islands, alaska",6
"north river, norton sound, alaska",6
"northway village, yukon, alaska",6
"pasagshak river, kodiak, alaska",6
"port alice, southeast, alaska",6
"port clarence, norton sound, alaska",6
"saint marys, yukon, alaska",6
"salmon river (pitka fork), kuskokwim, alaska",6
"sheenjek river, yukon, alaska",6
"situk river, southeast, alaska",6
"toklat river, yukon, alaska",6
"tuluksak river, kuskokwim, alaska",6
"chelatna lake, cook inlet, alaska",5
"coghill lake, prince william sound, alaska",5
"coghill river, prince william sound, alaska",5
