identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,alaska,board,NA
doi:10.5063/F1057D6G,Meagan Krupa,board,of,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,fisheries,NA
doi:10.5063/F1057D6G,Meagan Krupa,fisheries,meetings,NA
doi:10.5063/F1057D7X,Leslie Jones,anadromous,waters,NA
doi:10.5063/F1057D7X,Leslie Jones,waters,catalog,NA
doi:10.5063/F1057D7X,Leslie Jones,catalog,awc,NA
doi:10.5063/F1057D7X,Leslie Jones,awc,of,NA
doi:10.5063/F1057D7X,Leslie Jones,of,alaska,NA
doi:10.5063/F1057D7X,Leslie Jones,alaska,2018,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,national,park,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,park,service,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,service,southeast,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,southeast,alaska,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,alaska,network,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,network,in,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,in,situ,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,situ,stream,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,stream,temperature,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,temperature,monitoring,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,monitoring,of,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,of,the,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,the,indian,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,indian,river,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,river,salmon,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,salmon,river,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,river,and,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,and,taiya,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,taiya,river,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,river,2010,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,2010,2016,NA
doi:10.5063/F10Z71KS,NA,data,on,NA
doi:10.5063/F10Z71KS,NA,on,alaskan,NA
doi:10.5063/F10Z71KS,NA,alaskan,budget,NA
doi:10.5063/F10Z71KS,NA,budget,reports,NA
doi:10.5063/F1125QX4,Nicole Kimball,north,pacific,NA
doi:10.5063/F1125QX4,Nicole Kimball,pacific,fisheries,NA
doi:10.5063/F1125QX4,Nicole Kimball,fisheries,management,NA
doi:10.5063/F1125QX4,Nicole Kimball,management,council,NA
doi:10.5063/F1125QX4,Nicole Kimball,council,and,NA
doi:10.5063/F1125QX4,Nicole Kimball,and,advisory,NA
doi:10.5063/F1125QX4,Nicole Kimball,advisory,panel,NA
doi:10.5063/F1125QX4,Nicole Kimball,panel,members,NA
doi:10.5063/F1125QX4,Nicole Kimball,members,1976,NA
doi:10.5063/F1125QX4,Nicole Kimball,1976,2018,NA
doi:10.5063/F1125QX4,Nicole Kimball,2018,alaska,NA
doi:10.5063/F1125QZK,Jared Kibele,slope,per,NA
doi:10.5063/F1125QZK,Jared Kibele,per,sasap,NA
doi:10.5063/F1125QZK,Jared Kibele,sasap,region,NA
doi:10.5063/F1125QZK,Jared Kibele,region,and,NA
doi:10.5063/F1125QZK,Jared Kibele,and,hydrologic,NA
doi:10.5063/F1125QZK,Jared Kibele,hydrologic,unit,NA
doi:10.5063/F1125QZK,Jared Kibele,unit,huc8,NA
doi:10.5063/F1125QZK,Jared Kibele,huc8,boundary,NA
doi:10.5063/F1125QZK,Jared Kibele,boundary,for,NA
doi:10.5063/F1125QZK,Jared Kibele,for,alaskan,NA
doi:10.5063/F1125QZK,Jared Kibele,alaskan,watersheds,NA
doi:10.5063/F11834SM,NA,sockeye,salmon,NA
doi:10.5063/F11834SM,NA,salmon,brood,NA
doi:10.5063/F11834SM,NA,brood,tables,NA
doi:10.5063/F11834SM,NA,tables,upper,NA
doi:10.5063/F11834SM,NA,upper,cook,NA
doi:10.5063/F11834SM,NA,cook,inlet,NA
doi:10.5063/F11834SM,NA,inlet,alaska,NA
doi:10.5063/F11834SM,NA,alaska,1968,NA
doi:10.5063/F11834SM,NA,1968,2016,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,alaska,NA
doi:10.5063/F11C1V5H,Jared Kibele,alaska,with,NA
doi:10.5063/F11C1V5H,Jared Kibele,with,subsetting,NA
doi:10.5063/F11C1V5H,Jared Kibele,subsetting,by,NA
doi:10.5063/F11C1V5H,Jared Kibele,by,watershed,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,and,NA
doi:10.5063/F11C1V5H,Jared Kibele,and,sasap,NA
doi:10.5063/F11C1V5H,Jared Kibele,sasap,region,NA
doi:10.5063/F11R6NSS,Bert Lewis,chinook,salmon,NA
doi:10.5063/F11R6NSS,Bert Lewis,salmon,age,NA
doi:10.5063/F11R6NSS,Bert Lewis,age,sex,NA
doi:10.5063/F11R6NSS,Bert Lewis,sex,and,NA
doi:10.5063/F11R6NSS,Bert Lewis,and,length,NA
doi:10.5063/F11R6NSS,Bert Lewis,length,data,NA
doi:10.5063/F11R6NSS,Bert Lewis,data,from,NA
doi:10.5063/F11R6NSS,Bert Lewis,from,major,NA
doi:10.5063/F11R6NSS,Bert Lewis,major,rivers,NA
doi:10.5063/F11R6NSS,Bert Lewis,rivers,in,NA
doi:10.5063/F11R6NSS,Bert Lewis,in,southeast,NA
doi:10.5063/F11R6NSS,Bert Lewis,southeast,alaska,NA
doi:10.5063/F11R6NSS,Bert Lewis,alaska,1988,NA
doi:10.5063/F11R6NSS,Bert Lewis,1988,2017,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,chinook,salmon,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,salmon,brood,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,brood,tables,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,tables,northeast,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,northeast,pacific,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,pacific,1976,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,1976,2015,NA
doi:10.5063/F1222S1G,NA,salmon,age,NA
doi:10.5063/F1222S1G,NA,age,sex,NA
doi:10.5063/F1222S1G,NA,sex,and,NA
doi:10.5063/F1222S1G,NA,and,length,NA
doi:10.5063/F1222S1G,NA,length,data,NA
doi:10.5063/F1222S1G,NA,data,from,NA
doi:10.5063/F1222S1G,NA,from,upper,NA
doi:10.5063/F1222S1G,NA,upper,cook,NA
doi:10.5063/F1222S1G,NA,cook,inlet,NA
doi:10.5063/F1222S1G,NA,inlet,alaska,NA
doi:10.5063/F1222S1G,NA,alaska,1967,NA
doi:10.5063/F1222S1G,NA,1967,2016,NA
doi:10.5063/F12805X0,NA,salmon,hatchery,NA
doi:10.5063/F12805X0,NA,hatchery,return,NA
doi:10.5063/F12805X0,NA,return,data,NA
doi:10.5063/F12805X0,NA,data,1975,NA
doi:10.5063/F12805X0,NA,1975,2016,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,annual,salmon,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,salmon,hatchery,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,hatchery,releases,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,releases,from,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,from,the,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,the,hatchery,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,hatchery,release,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,release,report,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,report,form,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,form,alaska,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,alaska,1952,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,1952,2017,NA
doi:10.5063/F12Z13SN,Steve Langdon,alaska,salmon,NA
doi:10.5063/F12Z13SN,Steve Langdon,salmon,fishery,NA
doi:10.5063/F12Z13SN,Steve Langdon,fishery,disaster,NA
doi:10.5063/F12Z13SN,Steve Langdon,disaster,determinations,NA
doi:10.5063/F12Z13SN,Steve Langdon,determinations,1997,NA
doi:10.5063/F12Z13SN,Steve Langdon,1997,2018,NA
