identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,alaska,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,board,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,fisheries,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,provides,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,a,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,local,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,forum,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,for,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,regional,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,opinions,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,on,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,fish,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,game,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,issues,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,facilitates,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,resource,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,allocation,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,makes,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,regulatory,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,changes,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,holds,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,a,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,variety,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,each,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,year,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,this,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,dataset,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,includes,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,information,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,about,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,dates,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,locations,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,meeting,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,descriptions,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,for,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,that,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,occurred,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,or,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,are,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,slated,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,to,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,occur,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,between,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,2000,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,2019,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,original,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,source,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,these,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,data,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,is,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,alaska,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,department,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,fish,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,game,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,original,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,data,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,dating,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,back,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,to,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,2003,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,were,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,extracted,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,from,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,here,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,http,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,www.adfg.alaska.gov,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,index.cfm,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,adfg,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,fisheriesboard.meetinginfo,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,glenn,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,haight,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,executive,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,director,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,provided,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,information,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,about,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,from,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,years,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,prior,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,to,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,2003,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,this,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,dataset,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,was,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,modified,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,by,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,separating,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,start,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,end,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,dates,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,from,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,original,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,dates,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,column,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,into,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,two,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,separate,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,columns,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,this,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,dataset,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,contains,NA,NA
