identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,na,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,na,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,na,NA,NA
doi:10.5063/F10Z71KS,NA,na,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,na,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,na,NA,NA
doi:10.5063/F11834SM,NA,na,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,region,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,id,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,region,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,alaska,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,number,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,density,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,standard,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,deviation,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lake,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,elevation,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,id,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,name,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,original,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,numeric,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,id,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,in,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,source,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,data,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,data,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,source,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,elevation,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,standard,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,deviation,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lake,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,density,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,number,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11R6NSS,Bert Lewis,na,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,na,NA,NA
doi:10.5063/F1222S1G,NA,na,NA,NA
doi:10.5063/F12805X0,NA,na,NA,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,na,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,na,NA,NA
doi:10.5063/F1319T59,NA,na,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,region,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,id,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,region,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,alaska,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,number,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,area,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,density,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,average,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,area,NA,NA
