identifier,author,word1,word2,word3
doi:10.5063/F1416VB4,Andrew Munro,Area,,
doi:10.5063/F1416VB4,Andrew Munro,Species,,
doi:10.5063/F1416VB4,Andrew Munro,Region,,
doi:10.5063/F1416VB4,Andrew Munro,System,,
doi:10.5063/F1416VB4,Andrew Munro,Lower,,
doi:10.5063/F1416VB4,Andrew Munro,Upper,,
doi:10.5063/F1416VB4,Andrew Munro,Type,,
doi:10.5063/F1416VB4,Andrew Munro,Year.Implemented,,
doi:10.5063/F1416VB4,Andrew Munro,X2001,,
doi:10.5063/F1416VB4,Andrew Munro,X2002,,
doi:10.5063/F1416VB4,Andrew Munro,X2003,,
doi:10.5063/F1416VB4,Andrew Munro,X2004,,
doi:10.5063/F1416VB4,Andrew Munro,X2005,,
doi:10.5063/F1416VB4,Andrew Munro,X2006,,
doi:10.5063/F1416VB4,Andrew Munro,X2007,,
doi:10.5063/F1416VB4,Andrew Munro,X2008,,
doi:10.5063/F1416VB4,Andrew Munro,X2009,,
doi:10.5063/F1445JSW,Jared Kibele,region_id,,
doi:10.5063/F1445JSW,Jared Kibele,region,,
doi:10.5063/F1445JSW,Jared Kibele,n_mines,,
doi:10.5063/F1445JSW,Jared Kibele,avg_m_area,,
doi:10.5063/F1445JSW,Jared Kibele,area_mines,,
doi:10.5063/F1445JSW,Jared Kibele,density_mines,,
doi:10.5063/F1445JSW,Jared Kibele,id_numeric,,
doi:10.5063/F1445JSW,Jared Kibele,name,,
doi:10.5063/F1445JSW,Jared Kibele,id_origina,,
doi:10.5063/F1445JSW,Jared Kibele,source,,
doi:10.5063/F1445JSW,Jared Kibele,n_mines,,
doi:10.5063/F1445JSW,Jared Kibele,avg_m_area,,
doi:10.5063/F1445JSW,Jared Kibele,area_mines,,
doi:10.5063/F1445JSW,Jared Kibele,density_mines,,
doi:10.5063/F14B2ZMJ,Edward Otis,ID1,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_NUMBER,,
doi:10.5063/F14B2ZMJ,Edward Otis,YEAR,,
doi:10.5063/F14B2ZMJ,Edward Otis,DATE,,
doi:10.5063/F14B2ZMJ,Edward Otis,TIME,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_TYPE,,
doi:10.5063/F14B2ZMJ,Edward Otis,OBSERVER,,
doi:10.5063/F14B2ZMJ,Edward Otis,PILOT,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_RATING,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_CONDITIONS,,
doi:10.5063/F14B2ZMJ,Edward Otis,COUNTABLE_VIDEO,,
doi:10.5063/F14B2ZMJ,Edward Otis,REMARKS,,
doi:10.5063/F14B2ZMJ,Edward Otis,ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,STREAM_SECTION,,
doi:10.5063/F14B2ZMJ,Edward Otis,SPECIES,,
doi:10.5063/F14B2ZMJ,Edward Otis,COUNT,,
doi:10.5063/F14B2ZMJ,Edward Otis,CONDITION,,
doi:10.5063/F14B2ZMJ,Edward Otis,LATITUDE,,
doi:10.5063/F14B2ZMJ,Edward Otis,LONGITUDE,,
doi:10.5063/F14B2ZMJ,Edward Otis,POSITION,,
doi:10.5063/F14B2ZMJ,Edward Otis,DATA_EDIT_COMMENT,,
doi:10.5063/F14B2ZMJ,Edward Otis,ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,YEAR,,
doi:10.5063/F14B2ZMJ,Edward Otis,STOCK,,
doi:10.5063/F14B2ZMJ,Edward Otis,SPECIES,,
doi:10.5063/F14B2ZMJ,Edward Otis,REPORTED_ESCAPEMENT,,
doi:10.5063/F14B2ZMJ,Edward Otis,OFFICIAL_ESCAPEMENT,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_TYPE,,
doi:10.5063/F14B2ZMJ,Edward Otis,METHOD,,
doi:10.5063/F14B2ZMJ,Edward Otis,STREAM_LIFE,,
doi:10.5063/F14B2ZMJ,Edward Otis,START_DATE,,
doi:10.5063/F14B2ZMJ,Edward Otis,END_DATE,,
doi:10.5063/F14B2ZMJ,Edward Otis,RT_EXPANSION,,
doi:10.5063/F14B2ZMJ,Edward Otis,NOTES,,
doi:10.5063/F14B2ZMJ,Edward Otis,STREAM_SECTION,,
doi:10.5063/F14B2ZMJ,Edward Otis,DISTRICT,,
doi:10.5063/F14B2ZMJ,Edward Otis,INDEX_AREA,,
doi:10.5063/F14B2ZMJ,Edward Otis,SECTION,,
doi:10.5063/F14B2ZMJ,Edward Otis,STOCK,,
doi:10.5063/F14B2ZMJ,Edward Otis,STREAM,,
doi:10.5063/F14B2ZMJ,Edward Otis,ABBREVIATED_NAME,,
doi:10.5063/F14B2ZMJ,Edward Otis,CURRENT_2018_DIST_SUBD,,
doi:10.5063/F14B2ZMJ,Edward Otis,CF_S_CODE,,
doi:10.5063/F14B2ZMJ,Edward Otis,AWSC_CODE,,
doi:10.5063/F14B2ZMJ,Edward Otis,DIST_CF_CD,,
doi:10.5063/F14B2ZMJ,Edward Otis,IT_DEFINED,,
doi:10.5063/F14B2ZMJ,Edward Otis,AMA,,
doi:10.5063/F14B2ZMJ,Edward Otis,COMMENTS,,
doi:10.5063/F14B2ZMJ,Edward Otis,ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,SECTION,,
doi:10.5063/F14B2ZMJ,Edward Otis,DESCRIPTION,,
doi:10.5063/F14B2ZMJ,Edward Otis,ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,SPECIES,,
doi:10.5063/F14B2ZMJ,Edward Otis,SCIENTIFIC_NAME,,
doi:10.5063/F14B2ZMJ,Edward Otis,NOTES,,
doi:10.5063/F14B2ZMJ,Edward Otis,ID,,
doi:10.5063/F14B2ZMJ,Edward Otis,SURVEY_RATING,,
doi:10.5063/F14B2ZMJ,Edward Otis,DESCRIPTION,,
doi:10.5063/F14B2ZMJ,Edward Otis,GENERAL_CONDITIONS,,
doi:10.5063/F14B2ZMJ,Edward Otis,WATER_CONDITIONS,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Year,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,ADFG.Number,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Year.Built,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Length,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Gross.Tons,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Net.Tons,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Horse.Power,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Hold.Tank.Capacity,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Live.Tank.Capacity,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Fuel.Capacity,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Home.Port.City,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Home.Port.State,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Coast.Guard..,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Vessel.Name,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Owner.Name,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Name.Type,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Phone,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,File.Number,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Street,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,City,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,State,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Zip.Code,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Country,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Effective.Date,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Engine,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Hull.Type,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Refrigeration,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Salmon.Registration.Area,,
doi:10.5063/F14F1P2Q,Tobias Schwoerer,Freezer.Canner,,
