identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,governance,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,featured,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,biophys,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,stream,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,characteristics,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,stream,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,characteristics,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,temperature,NA,NA
doi:10.5063/F10Z71KS,NA,governance,NA,NA
doi:10.5063/F10Z71KS,NA,featured,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,governance,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,featured,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,well,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,being,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,watershed,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,characteristics,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,featured,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,biophysical,NA,NA
doi:10.5063/F11834SM,NA,brood,NA,NA
doi:10.5063/F11834SM,NA,table,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,characteristics,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,featured,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,biophysical,NA,NA
doi:10.5063/F11R6NSS,Bert Lewis,age,NA,NA
doi:10.5063/F11R6NSS,Bert Lewis,sex,NA,NA
doi:10.5063/F11R6NSS,Bert Lewis,length,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,brood,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,table,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,featured,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,biophysical,NA,NA
doi:10.5063/F1222S1G,NA,age,NA,NA
doi:10.5063/F1222S1G,NA,sex,NA,NA
doi:10.5063/F1222S1G,NA,length,NA,NA
doi:10.5063/F12805X0,NA,hatcheries,NA,NA
doi:10.5063/F12805X0,NA,featured,NA,NA
doi:10.5063/F12805X0,NA,biophysical,NA,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,hatcheries,NA,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,featured,NA,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,biophysical,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,governance,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,commercial,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,fishing,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,featured,NA,NA
doi:10.5063/F1319T59,NA,escapement,NA,NA
doi:10.5063/F1319T59,NA,biophysical,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,watershed,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,characteristics,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,featured,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,biophysical,NA,NA
doi:10.5063/F13T9FH5,NA,commercial,NA,NA
doi:10.5063/F13T9FH5,NA,fishing,NA,NA
doi:10.5063/F13T9FH5,NA,census,NA,NA
doi:10.5063/F13T9FH5,NA,and,NA,NA
