identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,NA,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,NA,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,NA,NA,NA
doi:10.5063/F10Z71KS,NA,NA,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,NA,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,NA,NA,NA
doi:10.5063/F11834SM,NA,NA,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,region,id,region
doi:10.5063/F11C1V5H,Jared Kibele,id,region,of
doi:10.5063/F11C1V5H,Jared Kibele,region,of,alaska
doi:10.5063/F11C1V5H,Jared Kibele,of,alaska,number
doi:10.5063/F11C1V5H,Jared Kibele,alaska,number,of
doi:10.5063/F11C1V5H,Jared Kibele,number,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,area
doi:10.5063/F11C1V5H,Jared Kibele,lakes,area,of
doi:10.5063/F11C1V5H,Jared Kibele,area,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,density
doi:10.5063/F11C1V5H,Jared Kibele,lakes,density,of
doi:10.5063/F11C1V5H,Jared Kibele,density,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,average
doi:10.5063/F11C1V5H,Jared Kibele,lakes,average,area
doi:10.5063/F11C1V5H,Jared Kibele,average,area,of
doi:10.5063/F11C1V5H,Jared Kibele,area,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,standard
doi:10.5063/F11C1V5H,Jared Kibele,lakes,standard,deviation
doi:10.5063/F11C1V5H,Jared Kibele,standard,deviation,of
doi:10.5063/F11C1V5H,Jared Kibele,deviation,of,lake
doi:10.5063/F11C1V5H,Jared Kibele,of,lake,area
doi:10.5063/F11C1V5H,Jared Kibele,lake,area,average
doi:10.5063/F11C1V5H,Jared Kibele,area,average,elevation
doi:10.5063/F11C1V5H,Jared Kibele,average,elevation,of
doi:10.5063/F11C1V5H,Jared Kibele,elevation,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,watershed
doi:10.5063/F11C1V5H,Jared Kibele,lakes,watershed,id
doi:10.5063/F11C1V5H,Jared Kibele,watershed,id,name
doi:10.5063/F11C1V5H,Jared Kibele,id,name,of
doi:10.5063/F11C1V5H,Jared Kibele,name,of,watershed
doi:10.5063/F11C1V5H,Jared Kibele,of,watershed,original
doi:10.5063/F11C1V5H,Jared Kibele,watershed,original,numeric
doi:10.5063/F11C1V5H,Jared Kibele,original,numeric,id
doi:10.5063/F11C1V5H,Jared Kibele,numeric,id,in
doi:10.5063/F11C1V5H,Jared Kibele,id,in,source
doi:10.5063/F11C1V5H,Jared Kibele,in,source,data
doi:10.5063/F11C1V5H,Jared Kibele,source,data,data
doi:10.5063/F11C1V5H,Jared Kibele,data,data,source
doi:10.5063/F11C1V5H,Jared Kibele,data,source,average
doi:10.5063/F11C1V5H,Jared Kibele,source,average,elevation
doi:10.5063/F11C1V5H,Jared Kibele,average,elevation,of
doi:10.5063/F11C1V5H,Jared Kibele,elevation,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,average
doi:10.5063/F11C1V5H,Jared Kibele,lakes,average,area
doi:10.5063/F11C1V5H,Jared Kibele,average,area,of
doi:10.5063/F11C1V5H,Jared Kibele,area,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,standard
doi:10.5063/F11C1V5H,Jared Kibele,lakes,standard,deviation
doi:10.5063/F11C1V5H,Jared Kibele,standard,deviation,of
doi:10.5063/F11C1V5H,Jared Kibele,deviation,of,lake
doi:10.5063/F11C1V5H,Jared Kibele,of,lake,area
doi:10.5063/F11C1V5H,Jared Kibele,lake,area,area
doi:10.5063/F11C1V5H,Jared Kibele,area,area,of
doi:10.5063/F11C1V5H,Jared Kibele,area,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,density
doi:10.5063/F11C1V5H,Jared Kibele,lakes,density,of
doi:10.5063/F11C1V5H,Jared Kibele,density,of,lakes
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,number
doi:10.5063/F11C1V5H,Jared Kibele,lakes,number,of
doi:10.5063/F11C1V5H,Jared Kibele,number,of,lakes
doi:10.5063/F11R6NSS,Bert Lewis,NA,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,NA,NA,NA
doi:10.5063/F1222S1G,NA,NA,NA,NA
doi:10.5063/F12805X0,NA,NA,NA,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,NA,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,NA,NA,NA
doi:10.5063/F1319T59,NA,NA,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,region,id,region
doi:10.5063/F13B5XD8,Jared Kibele,id,region,of
doi:10.5063/F13B5XD8,Jared Kibele,region,of,alaska
doi:10.5063/F13B5XD8,Jared Kibele,of,alaska,number
doi:10.5063/F13B5XD8,Jared Kibele,alaska,number,of
doi:10.5063/F13B5XD8,Jared Kibele,number,of,glaciers
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,area
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,area,of
doi:10.5063/F13B5XD8,Jared Kibele,area,of,glaciers
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,density
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,density,of
doi:10.5063/F13B5XD8,Jared Kibele,density,of,glaciers
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,average
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,average,area
doi:10.5063/F13B5XD8,Jared Kibele,average,area,of
doi:10.5063/F13B5XD8,Jared Kibele,area,of,glaciers
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,watershed
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,watershed,id
doi:10.5063/F13B5XD8,Jared Kibele,watershed,id,name
