identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,the,alaska,NA
doi:10.5063/F1057D6G,Meagan Krupa,alaska,board,NA
doi:10.5063/F1057D6G,Meagan Krupa,board,of,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,fisheries,NA
doi:10.5063/F1057D6G,Meagan Krupa,fisheries,bof,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,provides,NA
doi:10.5063/F1057D6G,Meagan Krupa,provides,a,NA
doi:10.5063/F1057D6G,Meagan Krupa,a,local,NA
doi:10.5063/F1057D6G,Meagan Krupa,local,forum,NA
doi:10.5063/F1057D6G,Meagan Krupa,forum,for,NA
doi:10.5063/F1057D6G,Meagan Krupa,for,regional,NA
doi:10.5063/F1057D6G,Meagan Krupa,regional,opinions,NA
doi:10.5063/F1057D6G,Meagan Krupa,opinions,on,NA
doi:10.5063/F1057D6G,Meagan Krupa,on,fish,NA
doi:10.5063/F1057D6G,Meagan Krupa,fish,and,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,game,NA
doi:10.5063/F1057D6G,Meagan Krupa,game,issues,NA
doi:10.5063/F1057D6G,Meagan Krupa,issues,facilitates,NA
doi:10.5063/F1057D6G,Meagan Krupa,facilitates,resource,NA
doi:10.5063/F1057D6G,Meagan Krupa,resource,allocation,NA
doi:10.5063/F1057D6G,Meagan Krupa,allocation,and,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,makes,NA
doi:10.5063/F1057D6G,Meagan Krupa,makes,regulatory,NA
doi:10.5063/F1057D6G,Meagan Krupa,regulatory,changes,NA
doi:10.5063/F1057D6G,Meagan Krupa,changes,the,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,bof,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,holds,NA
doi:10.5063/F1057D6G,Meagan Krupa,holds,a,NA
doi:10.5063/F1057D6G,Meagan Krupa,a,variety,NA
doi:10.5063/F1057D6G,Meagan Krupa,variety,of,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,meetings,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,each,NA
doi:10.5063/F1057D6G,Meagan Krupa,each,year,NA
doi:10.5063/F1057D6G,Meagan Krupa,year,this,NA
doi:10.5063/F1057D6G,Meagan Krupa,this,dataset,NA
doi:10.5063/F1057D6G,Meagan Krupa,dataset,includes,NA
doi:10.5063/F1057D6G,Meagan Krupa,includes,information,NA
doi:10.5063/F1057D6G,Meagan Krupa,information,about,NA
doi:10.5063/F1057D6G,Meagan Krupa,about,the,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,dates,NA
doi:10.5063/F1057D6G,Meagan Krupa,dates,locations,NA
doi:10.5063/F1057D6G,Meagan Krupa,locations,and,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,meeting,NA
doi:10.5063/F1057D6G,Meagan Krupa,meeting,descriptions,NA
doi:10.5063/F1057D6G,Meagan Krupa,descriptions,for,NA
doi:10.5063/F1057D6G,Meagan Krupa,for,bof,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,meetings,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,that,NA
doi:10.5063/F1057D6G,Meagan Krupa,that,occurred,NA
doi:10.5063/F1057D6G,Meagan Krupa,occurred,or,NA
doi:10.5063/F1057D6G,Meagan Krupa,or,are,NA
doi:10.5063/F1057D6G,Meagan Krupa,are,slated,NA
doi:10.5063/F1057D6G,Meagan Krupa,slated,to,NA
doi:10.5063/F1057D6G,Meagan Krupa,to,occur,NA
doi:10.5063/F1057D6G,Meagan Krupa,occur,between,NA
doi:10.5063/F1057D6G,Meagan Krupa,between,2000,NA
doi:10.5063/F1057D6G,Meagan Krupa,2000,and,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,2019,NA
doi:10.5063/F1057D6G,Meagan Krupa,2019,the,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,original,NA
doi:10.5063/F1057D6G,Meagan Krupa,original,source,NA
doi:10.5063/F1057D6G,Meagan Krupa,source,of,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,these,NA
doi:10.5063/F1057D6G,Meagan Krupa,these,data,NA
doi:10.5063/F1057D6G,Meagan Krupa,data,is,NA
doi:10.5063/F1057D6G,Meagan Krupa,is,the,NA
doi:10.5063/F1057D6G,Meagan Krupa,the,alaska,NA
doi:10.5063/F1057D6G,Meagan Krupa,alaska,department,NA
doi:10.5063/F1057D6G,Meagan Krupa,department,of,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,fish,NA
doi:10.5063/F1057D6G,Meagan Krupa,fish,and,NA
doi:10.5063/F1057D6G,Meagan Krupa,and,game,NA
doi:10.5063/F1057D6G,Meagan Krupa,game,original,NA
doi:10.5063/F1057D6G,Meagan Krupa,original,data,NA
doi:10.5063/F1057D6G,Meagan Krupa,data,dating,NA
doi:10.5063/F1057D6G,Meagan Krupa,dating,back,NA
doi:10.5063/F1057D6G,Meagan Krupa,back,to,NA
doi:10.5063/F1057D6G,Meagan Krupa,to,2003,NA
doi:10.5063/F1057D6G,Meagan Krupa,2003,were,NA
doi:10.5063/F1057D6G,Meagan Krupa,were,extracted,NA
doi:10.5063/F1057D6G,Meagan Krupa,extracted,from,NA
doi:10.5063/F1057D6G,Meagan Krupa,from,here,NA
doi:10.5063/F1057D6G,Meagan Krupa,here,http,NA
doi:10.5063/F1057D6G,Meagan Krupa,http,www.adfg.alaska.gov,NA
doi:10.5063/F1057D6G,Meagan Krupa,www.adfg.alaska.gov,index.cfm,NA
doi:10.5063/F1057D6G,Meagan Krupa,index.cfm,adfg,NA
doi:10.5063/F1057D6G,Meagan Krupa,adfg,fisheriesboard.meetinginfo,NA
doi:10.5063/F1057D6G,Meagan Krupa,fisheriesboard.meetinginfo,glenn,NA
doi:10.5063/F1057D6G,Meagan Krupa,glenn,haight,NA
doi:10.5063/F1057D6G,Meagan Krupa,haight,bof,NA
doi:10.5063/F1057D6G,Meagan Krupa,bof,executive,NA
doi:10.5063/F1057D6G,Meagan Krupa,executive,director,NA
doi:10.5063/F1057D6G,Meagan Krupa,director,provided,NA
doi:10.5063/F1057D6G,Meagan Krupa,provided,information,NA
doi:10.5063/F1057D6G,Meagan Krupa,information,about,NA
doi:10.5063/F1057D6G,Meagan Krupa,about,meetings,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,from,NA
