identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,the,alaska,board
doi:10.5063/F1057D6G,Meagan Krupa,alaska,board,of
doi:10.5063/F1057D6G,Meagan Krupa,board,of,fisheries
doi:10.5063/F1057D6G,Meagan Krupa,of,fisheries,bof
doi:10.5063/F1057D6G,Meagan Krupa,fisheries,bof,provides
doi:10.5063/F1057D6G,Meagan Krupa,bof,provides,a
doi:10.5063/F1057D6G,Meagan Krupa,provides,a,local
doi:10.5063/F1057D6G,Meagan Krupa,a,local,forum
doi:10.5063/F1057D6G,Meagan Krupa,local,forum,for
doi:10.5063/F1057D6G,Meagan Krupa,forum,for,regional
doi:10.5063/F1057D6G,Meagan Krupa,for,regional,opinions
doi:10.5063/F1057D6G,Meagan Krupa,regional,opinions,on
doi:10.5063/F1057D6G,Meagan Krupa,opinions,on,fish
doi:10.5063/F1057D6G,Meagan Krupa,on,fish,and
doi:10.5063/F1057D6G,Meagan Krupa,fish,and,game
doi:10.5063/F1057D6G,Meagan Krupa,and,game,issues
doi:10.5063/F1057D6G,Meagan Krupa,game,issues,facilitates
doi:10.5063/F1057D6G,Meagan Krupa,issues,facilitates,resource
doi:10.5063/F1057D6G,Meagan Krupa,facilitates,resource,allocation
doi:10.5063/F1057D6G,Meagan Krupa,resource,allocation,and
doi:10.5063/F1057D6G,Meagan Krupa,allocation,and,makes
doi:10.5063/F1057D6G,Meagan Krupa,and,makes,regulatory
doi:10.5063/F1057D6G,Meagan Krupa,makes,regulatory,changes
doi:10.5063/F1057D6G,Meagan Krupa,regulatory,changes,the
doi:10.5063/F1057D6G,Meagan Krupa,changes,the,bof
doi:10.5063/F1057D6G,Meagan Krupa,the,bof,holds
doi:10.5063/F1057D6G,Meagan Krupa,bof,holds,a
doi:10.5063/F1057D6G,Meagan Krupa,holds,a,variety
doi:10.5063/F1057D6G,Meagan Krupa,a,variety,of
doi:10.5063/F1057D6G,Meagan Krupa,variety,of,meetings
doi:10.5063/F1057D6G,Meagan Krupa,of,meetings,each
doi:10.5063/F1057D6G,Meagan Krupa,meetings,each,year
doi:10.5063/F1057D6G,Meagan Krupa,each,year,this
doi:10.5063/F1057D6G,Meagan Krupa,year,this,dataset
doi:10.5063/F1057D6G,Meagan Krupa,this,dataset,includes
doi:10.5063/F1057D6G,Meagan Krupa,dataset,includes,information
doi:10.5063/F1057D6G,Meagan Krupa,includes,information,about
doi:10.5063/F1057D6G,Meagan Krupa,information,about,the
doi:10.5063/F1057D6G,Meagan Krupa,about,the,dates
doi:10.5063/F1057D6G,Meagan Krupa,the,dates,locations
doi:10.5063/F1057D6G,Meagan Krupa,dates,locations,and
doi:10.5063/F1057D6G,Meagan Krupa,locations,and,meeting
doi:10.5063/F1057D6G,Meagan Krupa,and,meeting,descriptions
doi:10.5063/F1057D6G,Meagan Krupa,meeting,descriptions,for
doi:10.5063/F1057D6G,Meagan Krupa,descriptions,for,bof
doi:10.5063/F1057D6G,Meagan Krupa,for,bof,meetings
doi:10.5063/F1057D6G,Meagan Krupa,bof,meetings,that
doi:10.5063/F1057D6G,Meagan Krupa,meetings,that,occurred
doi:10.5063/F1057D6G,Meagan Krupa,that,occurred,or
doi:10.5063/F1057D6G,Meagan Krupa,occurred,or,are
doi:10.5063/F1057D6G,Meagan Krupa,or,are,slated
doi:10.5063/F1057D6G,Meagan Krupa,are,slated,to
doi:10.5063/F1057D6G,Meagan Krupa,slated,to,occur
doi:10.5063/F1057D6G,Meagan Krupa,to,occur,between
