identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,NA,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,NA,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,NA,NA,NA
doi:10.5063/F10Z71KS,NA,NA,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,NA,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,NA,NA,NA
doi:10.5063/F11834SM,NA,NA,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,region,id,NA
doi:10.5063/F11C1V5H,Jared Kibele,id,region,NA
doi:10.5063/F11C1V5H,Jared Kibele,region,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,alaska,NA
doi:10.5063/F11C1V5H,Jared Kibele,alaska,number,NA
doi:10.5063/F11C1V5H,Jared Kibele,number,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,area,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,density,NA
doi:10.5063/F11C1V5H,Jared Kibele,density,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,average,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,area,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,standard,NA
doi:10.5063/F11C1V5H,Jared Kibele,standard,deviation,NA
doi:10.5063/F11C1V5H,Jared Kibele,deviation,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lake,NA
doi:10.5063/F11C1V5H,Jared Kibele,lake,area,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,average,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,elevation,NA
doi:10.5063/F11C1V5H,Jared Kibele,elevation,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,watershed,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,id,NA
doi:10.5063/F11C1V5H,Jared Kibele,id,name,NA
doi:10.5063/F11C1V5H,Jared Kibele,name,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,watershed,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,original,NA
doi:10.5063/F11C1V5H,Jared Kibele,original,numeric,NA
doi:10.5063/F11C1V5H,Jared Kibele,numeric,id,NA
doi:10.5063/F11C1V5H,Jared Kibele,id,in,NA
doi:10.5063/F11C1V5H,Jared Kibele,in,source,NA
doi:10.5063/F11C1V5H,Jared Kibele,source,data,NA
doi:10.5063/F11C1V5H,Jared Kibele,data,data,NA
doi:10.5063/F11C1V5H,Jared Kibele,data,source,NA
doi:10.5063/F11C1V5H,Jared Kibele,source,average,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,elevation,NA
doi:10.5063/F11C1V5H,Jared Kibele,elevation,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,average,NA
doi:10.5063/F11C1V5H,Jared Kibele,average,area,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,standard,NA
doi:10.5063/F11C1V5H,Jared Kibele,standard,deviation,NA
doi:10.5063/F11C1V5H,Jared Kibele,deviation,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lake,NA
doi:10.5063/F11C1V5H,Jared Kibele,lake,area,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,area,NA
doi:10.5063/F11C1V5H,Jared Kibele,area,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,density,NA
doi:10.5063/F11C1V5H,Jared Kibele,density,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,number,NA
doi:10.5063/F11C1V5H,Jared Kibele,number,of,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,lakes,NA
doi:10.5063/F11R6NSS,Bert Lewis,NA,NA,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,NA,NA,NA
doi:10.5063/F1222S1G,NA,NA,NA,NA
doi:10.5063/F12805X0,NA,NA,NA,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,NA,NA,NA
doi:10.5063/F12Z13SN,Steve Langdon,NA,NA,NA
doi:10.5063/F1319T59,NA,NA,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,region,id,NA
doi:10.5063/F13B5XD8,Jared Kibele,id,region,NA
doi:10.5063/F13B5XD8,Jared Kibele,region,of,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,alaska,NA
doi:10.5063/F13B5XD8,Jared Kibele,alaska,number,NA
doi:10.5063/F13B5XD8,Jared Kibele,number,of,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,NA
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,area,NA
doi:10.5063/F13B5XD8,Jared Kibele,area,of,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,NA
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,density,NA
doi:10.5063/F13B5XD8,Jared Kibele,density,of,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,NA
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,average,NA
doi:10.5063/F13B5XD8,Jared Kibele,average,area,NA
doi:10.5063/F13B5XD8,Jared Kibele,area,of,NA
doi:10.5063/F13B5XD8,Jared Kibele,of,glaciers,NA
