identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,governance,featured,NA
doi:10.5063/F1057D7X,Leslie Jones,biophys,stream,NA
doi:10.5063/F1057D7X,Leslie Jones,stream,characteristics,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,stream,characteristics,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,characteristics,temperature,NA
doi:10.5063/F10Z71KS,NA,governance,featured,NA
doi:10.5063/F1125QX4,Nicole Kimball,governance,featured,NA
doi:10.5063/F1125QX4,Nicole Kimball,featured,well,NA
doi:10.5063/F1125QX4,Nicole Kimball,well,being,NA
doi:10.5063/F1125QZK,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F1125QZK,Jared Kibele,characteristics,featured,NA
doi:10.5063/F1125QZK,Jared Kibele,featured,biophysical,NA
doi:10.5063/F11834SM,NA,brood,table,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F11C1V5H,Jared Kibele,characteristics,featured,NA
doi:10.5063/F11C1V5H,Jared Kibele,featured,biophysical,NA
doi:10.5063/F11R6NSS,Bert Lewis,age,sex,NA
doi:10.5063/F11R6NSS,Bert Lewis,sex,length,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,brood,table,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,table,featured,NA
doi:10.5063/F11Z42Q5,Jeanette Clark,featured,biophysical,NA
doi:10.5063/F1222S1G,NA,age,sex,NA
doi:10.5063/F1222S1G,NA,sex,length,NA
doi:10.5063/F12805X0,NA,hatcheries,featured,NA
doi:10.5063/F12805X0,NA,featured,biophysical,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,hatcheries,featured,NA
doi:10.5063/F12N50JP,Madeline Jovanovich,featured,biophysical,NA
doi:10.5063/F12Z13SN,Steve Langdon,governance,commercial,NA
doi:10.5063/F12Z13SN,Steve Langdon,commercial,fishing,NA
doi:10.5063/F12Z13SN,Steve Langdon,fishing,featured,NA
doi:10.5063/F1319T59,NA,escapement,biophysical,NA
doi:10.5063/F13B5XD8,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F13B5XD8,Jared Kibele,characteristics,featured,NA
doi:10.5063/F13B5XD8,Jared Kibele,featured,biophysical,NA
doi:10.5063/F13T9FH5,NA,commercial,fishing,NA
doi:10.5063/F13T9FH5,NA,fishing,census,NA
doi:10.5063/F13T9FH5,NA,census,and,NA
doi:10.5063/F13T9FH5,NA,and,demographic,NA
doi:10.5063/F13T9FH5,NA,demographic,featured,NA
doi:10.5063/F13T9FH5,NA,featured,sociocultural,NA
doi:10.5063/F13T9FH5,NA,sociocultural,well,NA
doi:10.5063/F13T9FH5,NA,well,being,NA
doi:10.5063/F1416VB4,Andrew Munro,escapement,biophysical,NA
doi:10.5063/F1445JSW,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F1445JSW,Jared Kibele,characteristics,featured,NA
doi:10.5063/F1445JSW,Jared Kibele,featured,biophysical,NA
doi:10.5063/F14B2ZMJ,Edward Otis,NA,NA,NA
doi:10.5063/F14F1P2Q,Tobias Schwoerer,commercial,fishing,NA
doi:10.5063/F14F1P2Q,Tobias Schwoerer,fishing,featured,NA
doi:10.5063/F14F1P2Q,Tobias Schwoerer,featured,economic,NA
doi:10.5063/F14F1P2Q,Tobias Schwoerer,economic,well,NA
doi:10.5063/F14F1P2Q,Tobias Schwoerer,well,being,NA
doi:10.5063/F14Q7S94,NA,NA,NA,NA
doi:10.5063/F14T6GM3,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F14T6GM3,Jared Kibele,characteristics,places,NA
doi:10.5063/F14T6GNJ,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F14T6GNJ,Jared Kibele,characteristics,featured,NA
doi:10.5063/F14T6GNJ,Jared Kibele,featured,biophysical,NA
doi:10.5063/F1513WHZ,NA,brood,table,NA
doi:10.5063/F1542KVC,NA,ocean,distribution,NA
doi:10.5063/F1542KVC,NA,distribution,featured,NA
doi:10.5063/F1542KVC,NA,featured,biophysical,NA
doi:10.5063/F15T3HRG,Neala Kendall,age,sex,NA
doi:10.5063/F15T3HRG,Neala Kendall,sex,length,NA
doi:10.5063/F1610XMW,NA,NA,NA,NA
doi:10.5063/F1639N0M,NA,stream,characteristics,NA
doi:10.5063/F1639N0M,NA,characteristics,temperature,NA
doi:10.5063/F16971VP,NA,economic,commercial,NA
doi:10.5063/F16971VP,NA,commercial,fishing,NA
doi:10.5063/F16971VP,NA,fishing,featured,NA
doi:10.5063/F16H4FQS,NA,places,featured,NA
doi:10.5063/F16H4FQS,NA,featured,well,NA
doi:10.5063/F16H4FQS,NA,well,being,NA
doi:10.5063/F16M354H,NA,economic,featured,NA
doi:10.5063/F16M354H,NA,featured,well,NA
doi:10.5063/F16M354H,NA,well,being,NA
doi:10.5063/F1736P5F,Megan Marie,governance,featured,NA
doi:10.5063/F17M0660,Ben Staton,harvest,governance,NA
doi:10.5063/F17M0660,Ben Staton,governance,featured,NA
doi:10.5063/F17M0660,Ben Staton,featured,community,NA
doi:10.5063/F17M0660,Ben Staton,community,monitoring,NA
doi:10.5063/F17S7M2J,NA,harvest,subsistence,NA
doi:10.5063/F17S7M2J,NA,subsistence,and,NA
doi:10.5063/F17S7M2J,NA,and,personal,NA
doi:10.5063/F17S7M2J,NA,personal,use,NA
doi:10.5063/F17S7M2J,NA,use,fishing,NA
doi:10.5063/F17S7M2J,NA,fishing,survey,NA
doi:10.5063/F17S7M2J,NA,survey,featured,NA
doi:10.5063/F17S7M2J,NA,featured,sociocultural,NA
doi:10.5063/F17S7M2J,NA,sociocultural,well,NA
doi:10.5063/F17S7M2J,NA,well,being,NA
doi:10.5063/F17W69GV,Erika Gavenus,census,and,NA
doi:10.5063/F17W69GV,Erika Gavenus,and,demographic,NA
doi:10.5063/F17W69GV,Erika Gavenus,demographic,sociocultural,NA
doi:10.5063/F17W69GV,Erika Gavenus,sociocultural,featured,NA
doi:10.5063/F189144V,NA,commercial,fishing,NA
doi:10.5063/F189144V,NA,fishing,featured,NA
doi:10.5063/F189144V,NA,featured,sociocultural,NA
doi:10.5063/F189144V,NA,sociocultural,well,NA
doi:10.5063/F189144V,NA,well,being,NA
doi:10.5063/F1891459,Rich Brenner,brood,table,NA
doi:10.5063/F1891459,Rich Brenner,table,featured,NA
doi:10.5063/F1891459,Rich Brenner,featured,ocean,NA
doi:10.5063/F1891459,Rich Brenner,ocean,climate,NA
doi:10.5063/F18G8J0D,Jeanette Clark,escapement,featured,NA
doi:10.5063/F18G8J0D,Jeanette Clark,featured,biophysical,NA
doi:10.5063/F18G8J1V,Jared Kibele,watershed,characteristics,NA
doi:10.5063/F18G8J1V,Jared Kibele,characteristics,land,NA
doi:10.5063/F18G8J1V,Jared Kibele,land,use,NA
doi:10.5063/F18G8J1V,Jared Kibele,use,featured,NA
doi:10.5063/F18G8J1V,Jared Kibele,featured,biophysical,NA
doi:10.5063/F18K77BT,NA,age,sex,NA
doi:10.5063/F18K77BT,NA,sex,length,NA
doi:10.5063/F18P5XTN,NA,harvest,subsistence,NA
doi:10.5063/F18P5XTN,NA,subsistence,and,NA
doi:10.5063/F18P5XTN,NA,and,personal,NA
doi:10.5063/F18P5XTN,NA,personal,use,NA
doi:10.5063/F18P5XTN,NA,use,fishing,NA
doi:10.5063/F18P5XTN,NA,fishing,featured,NA
doi:10.5063/F18P5XTN,NA,featured,sociocultural,NA
doi:10.5063/F18P5XTN,NA,sociocultural,economic,NA
doi:10.5063/F18P5XTN,NA,economic,well,NA
doi:10.5063/F18P5XTN,NA,well,being,NA
doi:10.5063/F18W3BKS,NA,stream,characteristics,NA
doi:10.5063/F18W3BKS,NA,characteristics,temperature,NA
doi:10.5063/F19C6VQ2,Marcus Gho,commercial,fishing,NA
doi:10.5063/F19C6VQ2,Marcus Gho,fishing,featured,NA
doi:10.5063/F19K48HN,Jeanette Clark,escapement,featured,NA
doi:10.5063/F19K48HN,Jeanette Clark,featured,biophysical,NA
doi:10.5063/F19P2ZXK,NA,brood,table,NA
doi:10.5063/F19W0CRM,NA,stream,characteristics,NA
