identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,NA,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,biophys,stream,characteristics
doi:10.5063/F10G3HD0,Christopher Sergeant,stream,characteristics,temperature
doi:10.5063/F10Z71KS,NA,NA,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,governance,featured,well
doi:10.5063/F1125QX4,Nicole Kimball,featured,well,being
doi:10.5063/F1125QZK,Jared Kibele,watershed,characteristics,featured
doi:10.5063/F1125QZK,Jared Kibele,characteristics,featured,biophysical
doi:10.5063/F11834SM,NA,NA,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,watershed,characteristics,featured
doi:10.5063/F11C1V5H,Jared Kibele,characteristics,featured,biophysical
doi:10.5063/F11R6NSS,Bert Lewis,age,sex,length
doi:10.5063/F11Z42Q5,Jeanette Clark,brood,table,featured
doi:10.5063/F11Z42Q5,Jeanette Clark,table,featured,biophysical
doi:10.5063/F1222S1G,NA,age,sex,length
doi:10.5063/F12805X0,NA,hatcheries,featured,biophysical
doi:10.5063/F12N50JP,Madeline Jovanovich,hatcheries,featured,biophysical
doi:10.5063/F12Z13SN,Steve Langdon,governance,commercial,fishing
doi:10.5063/F12Z13SN,Steve Langdon,commercial,fishing,featured
doi:10.5063/F1319T59,NA,NA,NA,NA
doi:10.5063/F13B5XD8,Jared Kibele,watershed,characteristics,featured
doi:10.5063/F13B5XD8,Jared Kibele,characteristics,featured,biophysical
doi:10.5063/F13T9FH5,NA,commercial,fishing,census
doi:10.5063/F13T9FH5,NA,fishing,census,and
doi:10.5063/F13T9FH5,NA,census,and,demographic
doi:10.5063/F13T9FH5,NA,and,demographic,featured
doi:10.5063/F13T9FH5,NA,demographic,featured,sociocultural
doi:10.5063/F13T9FH5,NA,featured,sociocultural,well
doi:10.5063/F13T9FH5,NA,sociocultural,well,being
doi:10.5063/F1416VB4,Andrew Munro,NA,NA,NA
doi:10.5063/F1445JSW,Jared Kibele,watershed,characteristics,featured
doi:10.5063/F1445JSW,Jared Kibele,characteristics,featured,biophysical
doi:10.5063/F14B2ZMJ,Edward Otis,NA,NA,NA
doi:10.5063/F14F1P2Q,Tobias Schwoerer,commercial,fishing,featured
doi:10.5063/F14F1P2Q,Tobias Schwoerer,fishing,featured,economic
doi:10.5063/F14F1P2Q,Tobias Schwoerer,featured,economic,well
doi:10.5063/F14F1P2Q,Tobias Schwoerer,economic,well,being
doi:10.5063/F14Q7S94,NA,NA,NA,NA
doi:10.5063/F14T6GM3,Jared Kibele,watershed,characteristics,places
doi:10.5063/F14T6GNJ,Jared Kibele,watershed,characteristics,featured
doi:10.5063/F14T6GNJ,Jared Kibele,characteristics,featured,biophysical
doi:10.5063/F1513WHZ,NA,NA,NA,NA
doi:10.5063/F1542KVC,NA,ocean,distribution,featured
doi:10.5063/F1542KVC,NA,distribution,featured,biophysical
doi:10.5063/F15T3HRG,Neala Kendall,age,sex,length
doi:10.5063/F1610XMW,NA,NA,NA,NA
doi:10.5063/F1639N0M,NA,stream,characteristics,temperature
doi:10.5063/F16971VP,NA,economic,commercial,fishing
doi:10.5063/F16971VP,NA,commercial,fishing,featured
doi:10.5063/F16H4FQS,NA,places,featured,well
doi:10.5063/F16H4FQS,NA,featured,well,being
doi:10.5063/F16M354H,NA,economic,featured,well
doi:10.5063/F16M354H,NA,featured,well,being
doi:10.5063/F1736P5F,Megan Marie,NA,NA,NA
doi:10.5063/F17M0660,Ben Staton,harvest,governance,featured
doi:10.5063/F17M0660,Ben Staton,governance,featured,community
doi:10.5063/F17M0660,Ben Staton,featured,community,monitoring
doi:10.5063/F17S7M2J,NA,harvest,subsistence,and
doi:10.5063/F17S7M2J,NA,subsistence,and,personal
doi:10.5063/F17S7M2J,NA,and,personal,use
doi:10.5063/F17S7M2J,NA,personal,use,fishing
doi:10.5063/F17S7M2J,NA,use,fishing,survey
doi:10.5063/F17S7M2J,NA,fishing,survey,featured
doi:10.5063/F17S7M2J,NA,survey,featured,sociocultural
doi:10.5063/F17S7M2J,NA,featured,sociocultural,well
doi:10.5063/F17S7M2J,NA,sociocultural,well,being
doi:10.5063/F17W69GV,Erika Gavenus,census,and,demographic
doi:10.5063/F17W69GV,Erika Gavenus,and,demographic,sociocultural
doi:10.5063/F17W69GV,Erika Gavenus,demographic,sociocultural,featured
doi:10.5063/F189144V,NA,commercial,fishing,featured
doi:10.5063/F189144V,NA,fishing,featured,sociocultural
doi:10.5063/F189144V,NA,featured,sociocultural,well
doi:10.5063/F189144V,NA,sociocultural,well,being
doi:10.5063/F1891459,Rich Brenner,brood,table,featured
doi:10.5063/F1891459,Rich Brenner,table,featured,ocean
doi:10.5063/F1891459,Rich Brenner,featured,ocean,climate
doi:10.5063/F18G8J0D,Jeanette Clark,escapement,featured,biophysical
doi:10.5063/F18G8J1V,Jared Kibele,watershed,characteristics,land
doi:10.5063/F18G8J1V,Jared Kibele,characteristics,land,use
doi:10.5063/F18G8J1V,Jared Kibele,land,use,featured
doi:10.5063/F18G8J1V,Jared Kibele,use,featured,biophysical
doi:10.5063/F18K77BT,NA,age,sex,length
doi:10.5063/F18P5XTN,NA,harvest,subsistence,and
doi:10.5063/F18P5XTN,NA,subsistence,and,personal
doi:10.5063/F18P5XTN,NA,and,personal,use
doi:10.5063/F18P5XTN,NA,personal,use,fishing
doi:10.5063/F18P5XTN,NA,use,fishing,featured
doi:10.5063/F18P5XTN,NA,fishing,featured,sociocultural
doi:10.5063/F18P5XTN,NA,featured,sociocultural,economic
doi:10.5063/F18P5XTN,NA,sociocultural,economic,well
doi:10.5063/F18P5XTN,NA,economic,well,being
