identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,alaska,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,board,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,of,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,fisheries,NA,NA
doi:10.5063/F1057D6G,Meagan Krupa,meetings,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,anadromous,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,waters,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,catalog,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,awc,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,of,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,alaska,NA,NA
doi:10.5063/F1057D7X,Leslie Jones,2018,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,national,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,park,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,service,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,southeast,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,alaska,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,network,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,in,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,situ,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,stream,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,temperature,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,monitoring,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,of,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,the,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,indian,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,river,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,salmon,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,river,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,and,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,taiya,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,river,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,2010,NA,NA
doi:10.5063/F10G3HD0,Christopher Sergeant,2016,NA,NA
doi:10.5063/F10Z71KS,NA,data,NA,NA
doi:10.5063/F10Z71KS,NA,on,NA,NA
doi:10.5063/F10Z71KS,NA,alaskan,NA,NA
doi:10.5063/F10Z71KS,NA,budget,NA,NA
doi:10.5063/F10Z71KS,NA,reports,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,north,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,pacific,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,fisheries,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,management,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,council,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,and,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,advisory,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,panel,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,members,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,1976,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,2018,NA,NA
doi:10.5063/F1125QX4,Nicole Kimball,alaska,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,slope,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,per,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,sasap,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,region,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,and,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,hydrologic,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,unit,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,huc8,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,boundary,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,for,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,alaskan,NA,NA
doi:10.5063/F1125QZK,Jared Kibele,watersheds,NA,NA
doi:10.5063/F11834SM,NA,sockeye,NA,NA
doi:10.5063/F11834SM,NA,salmon,NA,NA
doi:10.5063/F11834SM,NA,brood,NA,NA
doi:10.5063/F11834SM,NA,tables,NA,NA
doi:10.5063/F11834SM,NA,upper,NA,NA
doi:10.5063/F11834SM,NA,cook,NA,NA
doi:10.5063/F11834SM,NA,inlet,NA,NA
doi:10.5063/F11834SM,NA,alaska,NA,NA
doi:10.5063/F11834SM,NA,1968,NA,NA
doi:10.5063/F11834SM,NA,2016,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,lakes,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,of,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,alaska,NA,NA
doi:10.5063/F11C1V5H,Jared Kibele,with,NA,NA
