identifier,author,word1,word2,word3
doi:10.5063/F1057D6G,Meagan Krupa,alaska,board,of
doi:10.5063/F1057D6G,Meagan Krupa,board,of,fisheries
doi:10.5063/F1057D6G,Meagan Krupa,of,fisheries,meetings
doi:10.5063/F1057D7X,Leslie Jones,anadromous,waters,catalog
doi:10.5063/F1057D7X,Leslie Jones,waters,catalog,awc
doi:10.5063/F1057D7X,Leslie Jones,catalog,awc,of
doi:10.5063/F1057D7X,Leslie Jones,awc,of,alaska
doi:10.5063/F1057D7X,Leslie Jones,of,alaska,2018
doi:10.5063/F10G3HD0,Christopher Sergeant,national,park,service
doi:10.5063/F10G3HD0,Christopher Sergeant,park,service,southeast
doi:10.5063/F10G3HD0,Christopher Sergeant,service,southeast,alaska
doi:10.5063/F10G3HD0,Christopher Sergeant,southeast,alaska,network
doi:10.5063/F10G3HD0,Christopher Sergeant,alaska,network,in
doi:10.5063/F10G3HD0,Christopher Sergeant,network,in,situ
doi:10.5063/F10G3HD0,Christopher Sergeant,in,situ,stream
doi:10.5063/F10G3HD0,Christopher Sergeant,situ,stream,temperature
doi:10.5063/F10G3HD0,Christopher Sergeant,stream,temperature,monitoring
doi:10.5063/F10G3HD0,Christopher Sergeant,temperature,monitoring,of
doi:10.5063/F10G3HD0,Christopher Sergeant,monitoring,of,the
doi:10.5063/F10G3HD0,Christopher Sergeant,of,the,indian
doi:10.5063/F10G3HD0,Christopher Sergeant,the,indian,river
doi:10.5063/F10G3HD0,Christopher Sergeant,indian,river,salmon
doi:10.5063/F10G3HD0,Christopher Sergeant,river,salmon,river
doi:10.5063/F10G3HD0,Christopher Sergeant,salmon,river,and
doi:10.5063/F10G3HD0,Christopher Sergeant,river,and,taiya
doi:10.5063/F10G3HD0,Christopher Sergeant,and,taiya,river
doi:10.5063/F10G3HD0,Christopher Sergeant,taiya,river,2010
doi:10.5063/F10G3HD0,Christopher Sergeant,river,2010,2016
doi:10.5063/F10Z71KS,NA,data,on,alaskan
doi:10.5063/F10Z71KS,NA,on,alaskan,budget
doi:10.5063/F10Z71KS,NA,alaskan,budget,reports
doi:10.5063/F1125QX4,Nicole Kimball,north,pacific,fisheries
doi:10.5063/F1125QX4,Nicole Kimball,pacific,fisheries,management
doi:10.5063/F1125QX4,Nicole Kimball,fisheries,management,council
doi:10.5063/F1125QX4,Nicole Kimball,management,council,and
doi:10.5063/F1125QX4,Nicole Kimball,council,and,advisory
doi:10.5063/F1125QX4,Nicole Kimball,and,advisory,panel
doi:10.5063/F1125QX4,Nicole Kimball,advisory,panel,members
doi:10.5063/F1125QX4,Nicole Kimball,panel,members,1976
doi:10.5063/F1125QX4,Nicole Kimball,members,1976,2018
doi:10.5063/F1125QX4,Nicole Kimball,1976,2018,alaska
doi:10.5063/F1125QZK,Jared Kibele,slope,per,sasap
doi:10.5063/F1125QZK,Jared Kibele,per,sasap,region
doi:10.5063/F1125QZK,Jared Kibele,sasap,region,and
doi:10.5063/F1125QZK,Jared Kibele,region,and,hydrologic
doi:10.5063/F1125QZK,Jared Kibele,and,hydrologic,unit
doi:10.5063/F1125QZK,Jared Kibele,hydrologic,unit,huc8
doi:10.5063/F1125QZK,Jared Kibele,unit,huc8,boundary
doi:10.5063/F1125QZK,Jared Kibele,huc8,boundary,for
doi:10.5063/F1125QZK,Jared Kibele,boundary,for,alaskan
doi:10.5063/F1125QZK,Jared Kibele,for,alaskan,watersheds
doi:10.5063/F11834SM,NA,sockeye,salmon,brood
doi:10.5063/F11834SM,NA,salmon,brood,tables
doi:10.5063/F11834SM,NA,brood,tables,upper
doi:10.5063/F11834SM,NA,tables,upper,cook
doi:10.5063/F11834SM,NA,upper,cook,inlet
doi:10.5063/F11834SM,NA,cook,inlet,alaska
doi:10.5063/F11834SM,NA,inlet,alaska,1968
doi:10.5063/F11834SM,NA,alaska,1968,2016
doi:10.5063/F11C1V5H,Jared Kibele,lakes,of,alaska
doi:10.5063/F11C1V5H,Jared Kibele,of,alaska,with
doi:10.5063/F11C1V5H,Jared Kibele,alaska,with,subsetting
doi:10.5063/F11C1V5H,Jared Kibele,with,subsetting,by
doi:10.5063/F11C1V5H,Jared Kibele,subsetting,by,watershed
doi:10.5063/F11C1V5H,Jared Kibele,by,watershed,and
doi:10.5063/F11C1V5H,Jared Kibele,watershed,and,sasap
doi:10.5063/F11C1V5H,Jared Kibele,and,sasap,region
doi:10.5063/F11R6NSS,Bert Lewis,chinook,salmon,age
doi:10.5063/F11R6NSS,Bert Lewis,salmon,age,sex
doi:10.5063/F11R6NSS,Bert Lewis,age,sex,and
doi:10.5063/F11R6NSS,Bert Lewis,sex,and,length
doi:10.5063/F11R6NSS,Bert Lewis,and,length,data
doi:10.5063/F11R6NSS,Bert Lewis,length,data,from
doi:10.5063/F11R6NSS,Bert Lewis,data,from,major
doi:10.5063/F11R6NSS,Bert Lewis,from,major,rivers
doi:10.5063/F11R6NSS,Bert Lewis,major,rivers,in
doi:10.5063/F11R6NSS,Bert Lewis,rivers,in,southeast
doi:10.5063/F11R6NSS,Bert Lewis,in,southeast,alaska
doi:10.5063/F11R6NSS,Bert Lewis,southeast,alaska,1988
doi:10.5063/F11R6NSS,Bert Lewis,alaska,1988,2017
doi:10.5063/F11Z42Q5,Jeanette Clark,chinook,salmon,brood
doi:10.5063/F11Z42Q5,Jeanette Clark,salmon,brood,tables
doi:10.5063/F11Z42Q5,Jeanette Clark,brood,tables,northeast
doi:10.5063/F11Z42Q5,Jeanette Clark,tables,northeast,pacific
doi:10.5063/F11Z42Q5,Jeanette Clark,northeast,pacific,1976
doi:10.5063/F11Z42Q5,Jeanette Clark,pacific,1976,2015
doi:10.5063/F1222S1G,NA,salmon,age,sex
doi:10.5063/F1222S1G,NA,age,sex,and
doi:10.5063/F1222S1G,NA,sex,and,length
doi:10.5063/F1222S1G,NA,and,length,data
doi:10.5063/F1222S1G,NA,length,data,from
doi:10.5063/F1222S1G,NA,data,from,upper
doi:10.5063/F1222S1G,NA,from,upper,cook
doi:10.5063/F1222S1G,NA,upper,cook,inlet
doi:10.5063/F1222S1G,NA,cook,inlet,alaska
doi:10.5063/F1222S1G,NA,inlet,alaska,1967
doi:10.5063/F1222S1G,NA,alaska,1967,2016
doi:10.5063/F12805X0,NA,salmon,hatchery,return
doi:10.5063/F12805X0,NA,hatchery,return,data
doi:10.5063/F12805X0,NA,return,data,1975
doi:10.5063/F12805X0,NA,data,1975,2016
doi:10.5063/F12N50JP,Madeline Jovanovich,annual,salmon,hatchery
doi:10.5063/F12N50JP,Madeline Jovanovich,salmon,hatchery,releases
doi:10.5063/F12N50JP,Madeline Jovanovich,hatchery,releases,from
doi:10.5063/F12N50JP,Madeline Jovanovich,releases,from,the
doi:10.5063/F12N50JP,Madeline Jovanovich,from,the,hatchery
doi:10.5063/F12N50JP,Madeline Jovanovich,the,hatchery,release
doi:10.5063/F12N50JP,Madeline Jovanovich,hatchery,release,report
doi:10.5063/F12N50JP,Madeline Jovanovich,release,report,form
doi:10.5063/F12N50JP,Madeline Jovanovich,report,form,alaska
doi:10.5063/F12N50JP,Madeline Jovanovich,form,alaska,1952
doi:10.5063/F12N50JP,Madeline Jovanovich,alaska,1952,2017
doi:10.5063/F12Z13SN,Steve Langdon,alaska,salmon,fishery
doi:10.5063/F12Z13SN,Steve Langdon,salmon,fishery,disaster
doi:10.5063/F12Z13SN,Steve Langdon,fishery,disaster,determinations
doi:10.5063/F12Z13SN,Steve Langdon,disaster,determinations,1997
doi:10.5063/F12Z13SN,Steve Langdon,determinations,1997,2018
doi:10.5063/F1319T59,NA,daily,salmon,escapement
doi:10.5063/F1319T59,NA,salmon,escapement,counts
doi:10.5063/F1319T59,NA,escapement,counts,central
doi:10.5063/F1319T59,NA,counts,central,region
doi:10.5063/F1319T59,NA,central,region,alaska
doi:10.5063/F13B5XD8,Jared Kibele,glaciers,in,alaska
doi:10.5063/F13B5XD8,Jared Kibele,in,alaska,with
doi:10.5063/F13B5XD8,Jared Kibele,alaska,with,subsetting
doi:10.5063/F13B5XD8,Jared Kibele,with,subsetting,by
doi:10.5063/F13B5XD8,Jared Kibele,subsetting,by,watershed
doi:10.5063/F13B5XD8,Jared Kibele,by,watershed,and
doi:10.5063/F13B5XD8,Jared Kibele,watershed,and,sasap
doi:10.5063/F13B5XD8,Jared Kibele,and,sasap,region
doi:10.5063/F13T9FH5,NA,age,demographics,of
doi:10.5063/F13T9FH5,NA,demographics,of,salmon
doi:10.5063/F13T9FH5,NA,of,salmon,permit
doi:10.5063/F13T9FH5,NA,salmon,permit,holders
doi:10.5063/F13T9FH5,NA,permit,holders,in
doi:10.5063/F13T9FH5,NA,holders,in,the
doi:10.5063/F13T9FH5,NA,in,the,alaskan
doi:10.5063/F13T9FH5,NA,the,alaskan,commercial
doi:10.5063/F13T9FH5,NA,alaskan,commercial,fisheries
doi:10.5063/F13T9FH5,NA,commercial,fisheries,entry
doi:10.5063/F13T9FH5,NA,fisheries,entry,commission
doi:10.5063/F13T9FH5,NA,entry,commission,1976
doi:10.5063/F13T9FH5,NA,commission,1976,2016
doi:10.5063/F1416VB4,Andrew Munro,summary,of,pacific
doi:10.5063/F1416VB4,Andrew Munro,of,pacific,salmon
doi:10.5063/F1416VB4,Andrew Munro,pacific,salmon,escapement
doi:10.5063/F1416VB4,Andrew Munro,salmon,escapement,goals
doi:10.5063/F1416VB4,Andrew Munro,escapement,goals,in
doi:10.5063/F1416VB4,Andrew Munro,goals,in,alaska
doi:10.5063/F1416VB4,Andrew Munro,in,alaska,with
doi:10.5063/F1416VB4,Andrew Munro,alaska,with,a
doi:10.5063/F1416VB4,Andrew Munro,with,a,review
doi:10.5063/F1416VB4,Andrew Munro,a,review,of
doi:10.5063/F1416VB4,Andrew Munro,review,of,escapements
doi:10.5063/F1416VB4,Andrew Munro,of,escapements,from
doi:10.5063/F1416VB4,Andrew Munro,escapements,from,2001
doi:10.5063/F1416VB4,Andrew Munro,from,2001,to
doi:10.5063/F1416VB4,Andrew Munro,2001,to,2009
doi:10.5063/F1445JSW,Jared Kibele,mines,in,alaska
doi:10.5063/F1445JSW,Jared Kibele,in,alaska,with
doi:10.5063/F1445JSW,Jared Kibele,alaska,with,subsetting
doi:10.5063/F1445JSW,Jared Kibele,with,subsetting,by
doi:10.5063/F1445JSW,Jared Kibele,subsetting,by,watershed
doi:10.5063/F1445JSW,Jared Kibele,by,watershed,and
doi:10.5063/F1445JSW,Jared Kibele,watershed,and,sasap
doi:10.5063/F1445JSW,Jared Kibele,and,sasap,region
doi:10.5063/F1445JSW,Jared Kibele,sasap,region,2010
doi:10.5063/F1445JSW,Jared Kibele,region,2010,to
doi:10.5063/F1445JSW,Jared Kibele,2010,to,2016
doi:10.5063/F14B2ZMJ,Edward Otis,lower,cook,inlet
doi:10.5063/F14B2ZMJ,Edward Otis,cook,inlet,salmon
doi:10.5063/F14B2ZMJ,Edward Otis,inlet,salmon,escapement
doi:10.5063/F14B2ZMJ,Edward Otis,salmon,escapement,database
doi:10.5063/F14B2ZMJ,Edward Otis,escapement,database,1927
doi:10.5063/F14B2ZMJ,Edward Otis,database,1927,2018
doi:10.5063/F14F1P2Q,Tobias Schwoerer,commercial,vessel,characteristics
doi:10.5063/F14F1P2Q,Tobias Schwoerer,vessel,characteristics,by
doi:10.5063/F14F1P2Q,Tobias Schwoerer,characteristics,by,year
doi:10.5063/F14F1P2Q,Tobias Schwoerer,by,year,state
doi:10.5063/F14F1P2Q,Tobias Schwoerer,year,state,alaskan
doi:10.5063/F14F1P2Q,Tobias Schwoerer,state,alaskan,census
doi:10.5063/F14F1P2Q,Tobias Schwoerer,alaskan,census,area
doi:10.5063/F14F1P2Q,Tobias Schwoerer,census,area,and
doi:10.5063/F14F1P2Q,Tobias Schwoerer,area,and,city
doi:10.5063/F14F1P2Q,Tobias Schwoerer,and,city,1978
doi:10.5063/F14F1P2Q,Tobias Schwoerer,city,1978,2017
doi:10.5063/F14Q7S94,NA,daily,escapement,counts
doi:10.5063/F14Q7S94,NA,escapement,counts,bristol
doi:10.5063/F14Q7S94,NA,counts,bristol,bay
doi:10.5063/F14Q7S94,NA,bristol,bay,alaska
doi:10.5063/F14Q7S94,NA,bay,alaska,1955
doi:10.5063/F14Q7S94,NA,alaska,1955,2017
doi:10.5063/F14T6GM3,Jared Kibele,hydrologic,unit,huc8
doi:10.5063/F14T6GM3,Jared Kibele,unit,huc8,boundaries
doi:10.5063/F14T6GM3,Jared Kibele,huc8,boundaries,for
